# Header: 
#   Title                 : 79-AU-197 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : C.Massimi 
#   Institute             : (2FR FR): France 
#   Reference             : (J,PR/C,81,044616,2010) 
#   Year                  : 2010 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 79 
#   A                     : 197 
#   Nuclide               : 79-AU-197 
# Reaction: 
#   entry-subent-pointer  :['23067-006-2' '23067-006-3'] 
#   EXFOR reaction        :['(79-AU-197(N,EL),,WID)' '(79-AU-197(N,G),,WID)'] 
#   incident energy       : 4.9050e+00 eV - 4.8288e+03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/230/23067.x4 
#   nds                   : https://nds.iaea.org/EXFOR/23067
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   5.8040E+02          NAN        NAN        NAN          NAN          NAN   1.0300E-01   2.0000E-03   3.0680E-01          NAN          NAN          NAN          NAN          NAN
   5.8630E+02          NAN        NAN        NAN          NAN          NAN   1.3400E-01          NAN   2.2400E-02   4.0000E-04          NAN          NAN          NAN          NAN
   6.0240E+02          NAN        NAN        NAN          NAN          NAN   1.1300E-01   1.0000E-03   2.2390E-01          NAN          NAN          NAN          NAN          NAN
   6.1690E+02          NAN        NAN        NAN          NAN          NAN   1.3500E-01          NAN   1.1700E-01   3.0000E-03          NAN          NAN          NAN          NAN
   6.2410E+02          NAN        NAN        NAN          NAN          NAN   1.2100E-01          NAN   5.3000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   6.2790E+02          NAN        NAN        NAN          NAN          NAN   1.3800E-01          NAN   2.5300E-02   4.0000E-04          NAN          NAN          NAN          NAN
   6.3830E+02          NAN        NAN        NAN          NAN          NAN   1.1800E-01   1.0000E-03   4.6400E-01          NAN          NAN          NAN          NAN          NAN
   6.5840E+02          NAN        NAN        NAN          NAN          NAN   9.7000E-02          NAN   4.7000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   6.8560E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01          NAN   1.8700E-02   5.0000E-04          NAN          NAN          NAN          NAN
   6.9530E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01   2.0000E-03   6.6670E-01          NAN          NAN          NAN          NAN          NAN
   6.9850E+02          NAN        NAN        NAN          NAN          NAN   1.1500E-01   1.0000E-03   7.3610E-01          NAN          NAN          NAN          NAN          NAN
   7.1520E+02          NAN        NAN        NAN          NAN          NAN   1.2000E-01   5.0000E-03   1.0570E-01   1.0000E-02          NAN          NAN          NAN          NAN
   7.3800E+02          NAN        NAN        NAN          NAN          NAN   1.2000E-01          NAN   1.1300E-02   4.0000E-04          NAN          NAN          NAN          NAN
   7.5950E+02          NAN        NAN        NAN          NAN          NAN   1.1600E-01   2.0000E-03   4.2670E-01          NAN          NAN          NAN          NAN          NAN
   7.7330E+02          NAN        NAN        NAN          NAN          NAN   1.2700E-01   2.0000E-03   4.7460E-01          NAN          NAN          NAN          NAN          NAN
   7.8380E+02          NAN        NAN        NAN          NAN          NAN   1.4000E-01          NAN   1.0200E-01   2.0000E-03          NAN          NAN          NAN          NAN
   7.9550E+02          NAN        NAN        NAN          NAN          NAN   1.2400E-01   2.0000E-03   1.7760E-01          NAN          NAN          NAN          NAN          NAN
   8.1280E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01          NAN   2.3400E-02   7.0000E-04          NAN          NAN          NAN          NAN
   8.1900E+02          NAN        NAN        NAN          NAN          NAN   1.2100E-01   3.0000E-03   2.4500E-01   1.5000E-02          NAN          NAN          NAN          NAN
   8.2440E+02          NAN        NAN        NAN          NAN          NAN   1.2100E-01   2.0000E-03   4.2640E-01          NAN          NAN          NAN          NAN          NAN
   8.6370E+02          NAN        NAN        NAN          NAN          NAN   1.6000E-01   2.0000E-02   1.8400E-02          NAN          NAN          NAN          NAN          NAN
   8.7890E+02          NAN        NAN        NAN          NAN          NAN   5.9000E-02   3.0000E-03   3.5200E-02          NAN          NAN          NAN          NAN          NAN
   9.3180E+02          NAN        NAN        NAN          NAN          NAN   1.2700E-01   2.0000E-03   3.5000E-01   2.0000E-02          NAN          NAN          NAN          NAN
   9.5540E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01          NAN   5.8000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   9.6060E+02          NAN        NAN        NAN          NAN          NAN   1.5000E-01          NAN   5.6000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   9.8360E+02          NAN        NAN        NAN          NAN          NAN   1.0600E-01   2.0000E-03   3.0000E-01   2.0000E-02          NAN          NAN          NAN          NAN
