# Header: 
#   Title                 : 63-EU-151 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : M0778-002-3 
#   First Author          : A.Nord 
#   Institute             : (2GERIFS): Institute fuer Strahlenphysik, Stuttgart 
#   Reference             : (J,PR/C,67,034307,2003) 
#   Year                  : 2003 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 63 
#   A                     : 151 
#   Isomer                :  
#   Nuclide               : 63-EU-151 
# Reaction: 
#   EXFOR Reaction        : (63-EU-151(G,EL),,WID,,G) 
#   Incident Energy       : 8.8900e+05 eV - 3.9180e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0778.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0778
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   8.8900E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E-04   1.3000E-04          NAN          NAN          NAN          NAN
   1.4210E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2400E-03   2.2000E-04          NAN          NAN          NAN          NAN
   1.8030E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0900E-03   2.2000E-04          NAN          NAN          NAN          NAN
   2.3270E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6500E-03   2.9000E-04          NAN          NAN          NAN          NAN
   2.6470E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.4500E-03   3.2000E-04          NAN          NAN          NAN          NAN
   2.6590E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6400E-03   3.1000E-04          NAN          NAN          NAN          NAN
   2.6940E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0200E-03   3.2000E-04          NAN          NAN          NAN          NAN
   2.8340E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.4400E-03   3.3000E-04          NAN          NAN          NAN          NAN
   3.8380E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4100E-03   9.0000E-04          NAN          NAN          NAN          NAN
   3.9180E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7300E-03   1.1500E-03          NAN          NAN          NAN          NAN
