# Header: 
#   Title                 : 73-TA-181 Resonance Parameter: ARE 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : F.W.K.Firk 
#   Institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
#   Reference             : (J,NP,9,198,5812) 
#   Year                  : 1958 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 73 
#   A                     : 181 
#   Nuclide               : 73-TA-181 
# Reaction: 
#   entry-subent-pointer  :['21015-003-0'] 
#   EXFOR reaction        :['(73-TA-181(N,TOT),,ARE)'] 
#   incident energy       : 2.0200e-05 eV - 9.8800e-05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/210/21015.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21015
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 2.0200E-05 2.0000E-07        NAN        NAN 5.4150E-01 1.6500E-02        NAN        NAN        NAN        NAN        NAN        NAN
 2.2700E-05 2.0000E-07        NAN        NAN 1.7100E-01 1.3000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 2.3900E-05        NAN        NAN        NAN 6.3150E-01 2.4000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 2.9900E-05        NAN        NAN        NAN 2.1000E-01 1.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 3.5000E-05        NAN        NAN        NAN 3.6850E-01 1.8000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 3.5800E-05        NAN        NAN        NAN 4.0350E-01 1.9000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 3.9000E-05 3.0000E-07        NAN        NAN 1.5737E+00 5.1333E-02        NAN        NAN        NAN        NAN        NAN        NAN
 4.9000E-05        NAN        NAN        NAN 3.8150E-01 1.7000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 5.7300E-05        NAN        NAN        NAN 1.5800E-01 1.3000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 6.2900E-05 5.0000E-07        NAN        NAN 6.1050E-01 2.4000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 7.6800E-05        NAN        NAN        NAN 8.7000E-01 7.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 8.2700E-05        NAN        NAN        NAN 7.8500E-01 7.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 8.4700E-05        NAN        NAN        NAN 7.8000E-01 7.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 9.8800E-05 1.0000E-06        NAN        NAN 2.5800E+00 1.2000E-01        NAN        NAN        NAN        NAN        NAN        NAN
