# Header: 
#   Title                 : 7-N-15 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C0827-004-4 
#   First Author          : S.E.Darden 
#   Institute             : (1USANOT): University of Notre Dame, Notre Dame, IN 
#   Reference             : (J,NP/A,429,218,1984) 
#   Year                  : 1984 
#   Facility              : (ACCEL): Accelerator 
# Target: 
#   Z                     : 7 
#   A                     : 15 
#   Isomer                :  
#   Nuclide               : 7-N-15 
# Reaction: 
#   EXFOR Reaction        : (7-N-15(P,TOT),,WID) 
#   Incident Energy Type   : 2.9800e+06 eV - 6.7850e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0827.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0827
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   2.9800E+06          NAN        2.0        1.0   4.4000E+04   6.0000E+03          NAN          NAN   2.0000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   3.2540E+06          NAN        2.0        2.0   6.4000E+04   5.0000E+03          NAN          NAN   3.5000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   3.4980E+06          NAN        3.0        2.0   1.0400E+05   1.4000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3500E+06          NAN        1.0        0.0   6.2000E+05   5.6000E+04          NAN          NAN   2.1000E+05   3.8000E+04          NAN          NAN          NAN          NAN
   4.3540E+06          NAN        NAN        1.0   2.2000E+04   5.0000E+03          NAN          NAN   7.0000E+03   3.0000E+03          NAN          NAN          NAN          NAN
   4.5050E+06          NAN        0.0        1.0   6.5000E+04   8.0000E+03          NAN          NAN   5.3000E+04   1.2000E+04          NAN          NAN          NAN          NAN
   5.0000E+06          NAN        NAN        3.0   2.7000E+04   4.0000E+03          NAN          NAN   7.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   5.3000E+06          NAN        1.0        0.0   3.8000E+05   4.0000E+04          NAN          NAN   2.4000E+04   6.0000E+03          NAN          NAN          NAN          NAN
   5.3270E+06          NAN        1.0        1.0   2.9000E+04   5.0000E+03          NAN          NAN   1.1000E+04   2.0000E+03          NAN          NAN          NAN          NAN
   5.4840E+06          NAN        1.0        0.0   7.8000E+04   1.0000E+04          NAN          NAN   3.2000E+04   4.0000E+03          NAN          NAN          NAN          NAN
   5.8480E+06          NAN        2.0        1.0   1.1000E+05   1.4000E+04          NAN          NAN   3.7000E+04   8.0000E+03          NAN          NAN          NAN          NAN
   6.1000E+06          NAN        2.0        2.0   8.2000E+05   1.0000E+05          NAN          NAN   5.0000E+05   1.0000E+05          NAN          NAN          NAN          NAN
   6.1360E+06          NAN        NAN        2.0   2.5000E+04   3.0000E+03          NAN          NAN   9.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   6.2980E+06          NAN        3.0        2.0   3.3000E+04   6.0000E+03          NAN          NAN   1.3000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   6.4900E+06          NAN        2.0        1.0   1.4000E+05   2.4000E+04          NAN          NAN   3.3000E+04   1.2000E+04          NAN          NAN          NAN          NAN
   6.7270E+06          NAN        2.0        1.0   9.1000E+04   3.8000E+04          NAN          NAN   1.1000E+04   6.0000E+03          NAN          NAN          NAN          NAN
   6.7850E+06          NAN        1.0        2.0   3.5000E+04   6.0000E+03          NAN          NAN   1.7000E+04   3.0000E+03          NAN          NAN          NAN          NAN
