# Header: 
#   Title                 : 92-U-236 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : G0027-004-2 
#   First Author          : J.Margraf 
#   Institute             : (2GERJLU): Justus Liebig University , Giessen 
#   Reference             : (J,PR/C,42,771,1990) 
#   Year                  : 1990 
#   Facility              : (DYNAM): Dynamitron 
# Target: 
#   Z                     : 92 
#   A                     : 236 
#   Isomer                :  
#   Nuclide               : 92-U-236 
# Reaction: 
#   EXFOR Reaction        : (92-U-236(G,EL),,WID) 
#   Incident Energy Type   : 1.7913e+06 eV - 3.1438e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G00/G0027.x4 
#   nds                   : https://nds.iaea.org/EXFOR/G0027
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   1.7913E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.3000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   2.0542E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.5000E-03   1.3000E-03          NAN          NAN          NAN          NAN
   2.0870E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.4000E-03   2.1000E-03          NAN          NAN          NAN          NAN
   2.0957E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   5.2000E-03   1.2000E-03          NAN          NAN          NAN          NAN
   2.1888E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.7000E-02   3.2000E-03          NAN          NAN          NAN          NAN
   2.2439E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   9.1000E-03   1.0000E-03          NAN          NAN          NAN          NAN
   2.2511E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.0900E-02   1.7000E-03          NAN          NAN          NAN          NAN
   2.2847E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.4300E-02   1.7000E-03          NAN          NAN          NAN          NAN
   2.4356E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.4100E-02   1.7000E-03          NAN          NAN          NAN          NAN
   2.4402E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-02   1.4000E-03          NAN          NAN          NAN          NAN
   2.4573E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.1000E-02   1.6000E-03          NAN          NAN          NAN          NAN
   2.4945E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.2800E-02   1.8000E-03          NAN          NAN          NAN          NAN
   2.4985E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.2200E-02   2.0000E-03          NAN          NAN          NAN          NAN
   2.6990E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.4300E-02   2.3000E-03          NAN          NAN          NAN          NAN
   2.7121E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   9.7000E-03   2.1000E-03          NAN          NAN          NAN          NAN
   2.7562E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   6.3000E-03   1.6000E-03          NAN          NAN          NAN          NAN
   2.8233E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   9.8000E-03   2.6000E-03          NAN          NAN          NAN          NAN
   2.8383E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   7.6000E-03   2.2000E-03          NAN          NAN          NAN          NAN
   2.8778E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.3100E-02   3.0000E-03          NAN          NAN          NAN          NAN
   2.9240E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   5.8000E-03   1.8000E-03          NAN          NAN          NAN          NAN
   2.9690E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.2300E-02   2.8000E-03          NAN          NAN          NAN          NAN
   3.1438E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.8400E-02   3.5000E-03          NAN          NAN          NAN          NAN
