# Header: 
#   Title                 : 8-O-16 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : G.Caskey 
#   Institute             : (1USAWIS): University of Wisconsin, Madison, WI 
#   Reference             : (J,PR/C,31,717,1985) 
#   Year                  : 1985 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Nuclide               : 8-O-16 
# Reaction: 
#   entry-subent-pointer  :{145: 'T0237-004-2', 146: 'T0237-004-2', 147: 'T0237-004-2', 148: 'T0237-004-2', 149: 'T0237-004-2', 150: 'T0237-004-2', 151: 'T0237-004-2', 152: 'T0237-004-2', 153: 'T0237-004-2', 154: 'T0237-004-2', 155: 'T0237-004-2', 156: 'T0237-004-2', 157: 'T0237-004-2', 158: 'T0237-004-2', 159: 'T0237-004-2', 160: 'T0237-004-2', 161: 'T0237-004-2', 162: 'T0237-004-2', 163: 'T0237-004-2', 164: 'T0237-004-2', 165: 'T0237-004-2', 166: 'T0237-004-2', 167: 'T0237-004-2', 168: 'T0237-004-2', 169: 'T0237-004-2', 170: 'T0237-004-2', 171: 'T0237-004-2', 172: 'T0237-004-2', 173: 'T0237-004-2', 174: 'T0237-004-2', 175: 'T0237-004-2', 176: 'T0237-004-2', 177: 'T0237-004-2', 178: 'T0237-004-2', 179: 'T0237-004-2', 180: 'T0237-004-2', 181: 'T0237-004-2', 182: 'T0237-004-2', 183: 'T0237-004-2', 184: 'T0237-004-2', 185: 'T0237-004-2', 186: 'T0237-004-2', 187: 'T0237-004-2', 188: 'T0237-004-2', 189: 'T0237-004-2', 190: 'T0237-004-2', 191: 'T0237-004-2', 192: 'T0237-004-2', 193: 'T0237-004-2', 194: 'T0237-004-2', 195: 'T0237-004-2', 196: 'T0237-004-2', 197: 'T0237-004-2', 198: 'T0237-004-2', 199: 'T0237-004-2', 200: 'T0237-004-2', 201: 'T0237-004-2', 202: 'T0237-004-2', 203: 'T0237-004-2', 204: 'T0237-004-2', 205: 'T0237-004-2', 206: 'T0237-004-2', 207: 'T0237-004-2', 208: 'T0237-004-2', 209: 'T0237-004-2', 210: 'T0237-004-2', 211: 'T0237-004-2'} 
#   EXFOR reaction        :{145: '(8-O-16(A,TOT),,WID)', 146: '(8-O-16(A,TOT),,WID)', 147: '(8-O-16(A,TOT),,WID)', 148: '(8-O-16(A,TOT),,WID)', 149: '(8-O-16(A,TOT),,WID)', 150: '(8-O-16(A,TOT),,WID)', 151: '(8-O-16(A,TOT),,WID)', 152: '(8-O-16(A,TOT),,WID)', 153: '(8-O-16(A,TOT),,WID)', 154: '(8-O-16(A,TOT),,WID)', 155: '(8-O-16(A,TOT),,WID)', 156: '(8-O-16(A,TOT),,WID)', 157: '(8-O-16(A,TOT),,WID)', 158: '(8-O-16(A,TOT),,WID)', 159: '(8-O-16(A,TOT),,WID)', 160: '(8-O-16(A,TOT),,WID)', 161: '(8-O-16(A,TOT),,WID)', 162: '(8-O-16(A,TOT),,WID)', 163: '(8-O-16(A,TOT),,WID)', 164: '(8-O-16(A,TOT),,WID)', 165: '(8-O-16(A,TOT),,WID)', 166: '(8-O-16(A,TOT),,WID)', 167: '(8-O-16(A,TOT),,WID)', 168: '(8-O-16(A,TOT),,WID)', 169: '(8-O-16(A,TOT),,WID)', 170: '(8-O-16(A,TOT),,WID)', 171: '(8-O-16(A,TOT),,WID)', 172: '(8-O-16(A,TOT),,WID)', 173: '(8-O-16(A,TOT),,WID)', 174: '(8-O-16(A,TOT),,WID)', 175: '(8-O-16(A,TOT),,WID)', 176: '(8-O-16(A,TOT),,WID)', 177: '(8-O-16(A,TOT),,WID)', 178: '(8-O-16(A,TOT),,WID)', 179: '(8-O-16(A,TOT),,WID)', 180: '(8-O-16(A,TOT),,WID)', 181: '(8-O-16(A,TOT),,WID)', 182: '(8-O-16(A,TOT),,WID)', 183: '(8-O-16(A,TOT),,WID)', 184: '(8-O-16(A,TOT),,WID)', 185: '(8-O-16(A,TOT),,WID)', 186: '(8-O-16(A,TOT),,WID)', 187: '(8-O-16(A,TOT),,WID)', 188: '(8-O-16(A,TOT),,WID)', 189: '(8-O-16(A,TOT),,WID)', 190: '(8-O-16(A,TOT),,WID)', 191: '(8-O-16(A,TOT),,WID)', 192: '(8-O-16(A,TOT),,WID)', 193: '(8-O-16(A,TOT),,WID)', 194: '(8-O-16(A,TOT),,WID)', 195: '(8-O-16(A,TOT),,WID)', 196: '(8-O-16(A,TOT),,WID)', 197: '(8-O-16(A,TOT),,WID)', 198: '(8-O-16(A,TOT),,WID)', 199: '(8-O-16(A,TOT),,WID)', 200: '(8-O-16(A,TOT),,WID)', 201: '(8-O-16(A,TOT),,WID)', 202: '(8-O-16(A,TOT),,WID)', 203: '(8-O-16(A,TOT),,WID)', 204: '(8-O-16(A,TOT),,WID)', 205: '(8-O-16(A,TOT),,WID)', 206: '(8-O-16(A,TOT),,WID)', 207: '(8-O-16(A,TOT),,WID)', 208: '(8-O-16(A,TOT),,WID)', 209: '(8-O-16(A,TOT),,WID)', 210: '(8-O-16(A,TOT),,WID)', 211: '(8-O-16(A,TOT),,WID)'} 
#   incident energy       : 9.4030e+06 eV - 1.3384e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0237.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0237
#
#        E_in(eV)          dE_in(eV)    data(A,TOT)(eV)       ddata(A,TOT)       data(A,G)         ddata(A,G)        data(A,EL)       ddata(A,EL)        data(A,F)        ddata(A,F)         data(A,A)        ddata(A,A)            spin_j        momentum_l
        9.4030E+06               NAN        1.5300E+05        1.3000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        9.4950E+06               NAN        3.8800E+05        4.6000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        9.5870E+06               NAN        4.2000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        9.6280E+06               NAN        2.9000E+04        1.3000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        9.6770E+06               NAN        1.2400E+05        6.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        9.8180E+06               NAN        7.2000E+04        9.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               6.0               NAN
        9.8270E+06               NAN        1.4500E+05        2.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        9.9780E+06               NAN        8.4000E+04        8.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.0015E+07               NAN        6.1000E+04        1.2000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.0132E+07               NAN        3.0000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.0283E+07               NAN        3.8000E+04        4.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.0397E+07               NAN        1.8000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        1.0419E+07               NAN        3.0500E+05        5.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.0461E+07               NAN        5.3000E+04        2.4000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        1.0468E+07               NAN        1.0200E+05        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               6.0               NAN
        1.0508E+07               NAN        4.8000E+04        4.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.0614E+07               NAN        4.0000E+04        1.3000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        1.0617E+07               NAN        8.1000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.0620E+07               NAN        5.3000E+04        4.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.0763E+07               NAN        2.6000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        1.0854E+07               NAN        3.4000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.0857E+07               NAN        1.6000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.0870E+07               NAN        4.9000E+04        7.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.0913E+07               NAN        1.9500E+05        2.2000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.0971E+07               NAN        2.4000E+04        8.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.0999E+07               NAN        6.1000E+04        8.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.1000E+07               NAN        7.6000E+04        3.2000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        1.1054E+07               NAN        1.2000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.1183E+07               NAN        1.1000E+04        2.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.1202E+07               NAN        3.1000E+05        2.8000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        1.1267E+07               NAN        7.7000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        1.1371E+07               NAN        1.3600E+05        1.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.1420E+07               NAN        1.7400E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.1473E+07               NAN        7.4000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.1498E+07               NAN        6.5000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               6.0               NAN
        1.1522E+07               NAN        7.9000E+04        1.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0               NAN
        1.1544E+07               NAN        8.0000E+03        1.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        1.1607E+07               NAN        7.9000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.1663E+07               NAN        1.4700E+05        4.7000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.1732E+07               NAN        4.2000E+04        6.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.0               NAN
        1.1925E+07               NAN        9.2000E+04        9.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
