# Header: 
#   Title                 : 8-O-16 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : J.H.Billen 
#   Institute             : (1USAWIS): University of Wisconsin, Madison, WI 
#   Reference             : (J,PR/C,20,1648,1979) 
#   Year                  : 1979 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Nuclide               : 8-O-16 
# Reaction: 
#   entry-subent-pointer  :{99: 'T0236-010-2', 100: 'T0236-010-2', 101: 'T0236-010-2', 102: 'T0236-010-2', 103: 'T0236-010-2', 104: 'T0236-010-2', 105: 'T0236-010-2', 106: 'T0236-010-2', 107: 'T0236-010-2', 108: 'T0236-010-2', 109: 'T0236-010-2', 110: 'T0236-010-2', 111: 'T0236-010-2', 112: 'T0236-010-2'} 
#   EXFOR reaction        :{99: '(8-O-16(A,TOT),,WID)', 100: '(8-O-16(A,TOT),,WID)', 101: '(8-O-16(A,TOT),,WID)', 102: '(8-O-16(A,TOT),,WID)', 103: '(8-O-16(A,TOT),,WID)', 104: '(8-O-16(A,TOT),,WID)', 105: '(8-O-16(A,TOT),,WID)', 106: '(8-O-16(A,TOT),,WID)', 107: '(8-O-16(A,TOT),,WID)', 108: '(8-O-16(A,TOT),,WID)', 109: '(8-O-16(A,TOT),,WID)', 110: '(8-O-16(A,TOT),,WID)', 111: '(8-O-16(A,TOT),,WID)', 112: '(8-O-16(A,TOT),,WID)'} 
#   incident energy       : 1.4721e+07 eV - 1.9953e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0236.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0236
#
#        E_in(eV)          dE_in(eV)    data(A,TOT)(eV)       ddata(A,TOT)       data(A,G)         ddata(A,G)        data(A,EL)       ddata(A,EL)        data(A,F)        ddata(A,F)         data(A,A)        ddata(A,A)            spin_j        momentum_l
        1.4721E+07               NAN        2.5000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               6.0               NAN
        1.4815E+07               NAN        8.6000E+04        6.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        1.4886E+07               NAN        5.1000E+04        1.4000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.0               NAN
        1.4928E+07               NAN        7.9000E+04        1.1000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        1.4980E+07               NAN        1.4000E+04        7.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.5150E+07               NAN        1.6000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.5532E+07               NAN        3.3000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.5601E+07               NAN        1.4200E+05        9.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        1.5687E+07               NAN        5.2000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               4.0               NAN
        1.5721E+07               NAN        2.1300E+05        1.2000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               8.0               NAN
        1.5837E+07               NAN        2.4100E+05        1.3000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               9.0               NAN
        1.6625E+07               NAN        3.5000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               5.0               NAN
        1.6746E+07               NAN        2.9000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        1.9953E+07               NAN        7.5000E+04        9.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               9.0               NAN
