# Header: 
#   Title                 : 38-SR-88 Resonance Parameter: ARE 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : R.Schwengner 
#   Institute             : (3ALGALG): Algeria 
#   Reference             : (J,PR/C,76,034321,2007) 
#   Year                  : 2007 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 38 
#   A                     : 88 
#   Nuclide               : 38-SR-88 
# Reaction: 
#   entry-subent-pointer  :['L0141-002-4'] 
#   EXFOR reaction        :['(38-SR-88(G,EL),,ARE)'] 
#   incident energy       : 1.8359e+06 eV - 1.2026e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L01/L0141.x4 
#   nds                   : https://nds.iaea.org/EXFOR/L0141
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   1.8359E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   1.9000E+01          NAN          NAN          NAN          NAN
   3.2183E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN
   3.4863E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   1.5000E+01          NAN          NAN          NAN          NAN
   4.0356E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN
   4.7427E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   7.0000E+00          NAN          NAN          NAN          NAN
   6.0089E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   9.6000E+01   1.2000E+01          NAN          NAN          NAN          NAN
   6.2006E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.4000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   6.2121E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   4.3000E+01          NAN          NAN          NAN          NAN
   6.3334E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   6.5000E+01          NAN          NAN          NAN          NAN
   6.3464E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.0100E+02   1.2000E+01          NAN          NAN          NAN          NAN
   6.5917E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN
   6.8546E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   5.7000E+01   1.1000E+01          NAN          NAN          NAN          NAN
   6.9879E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.4200E+02   1.6000E+01          NAN          NAN          NAN          NAN
   7.0891E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   9.6300E+02   7.2000E+01          NAN          NAN          NAN          NAN
   7.1692E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.9000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   7.2818E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.8000E+02   1.8000E+01          NAN          NAN          NAN          NAN
   7.2999E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   8.9000E+01   1.2000E+01          NAN          NAN          NAN          NAN
   7.4928E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.6000E+01   1.1000E+01          NAN          NAN          NAN          NAN
   7.5339E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.9300E+02   2.8000E+01          NAN          NAN          NAN          NAN
   7.5913E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   9.9000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   7.8078E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.6100E+02   2.3000E+01          NAN          NAN          NAN          NAN
   7.8383E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.8600E+02   3.7000E+01          NAN          NAN          NAN          NAN
   7.8773E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.3000E+02   2.2000E+01          NAN          NAN          NAN          NAN
   7.9642E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.6700E+02   2.9000E+01          NAN          NAN          NAN          NAN
