# Header: 
#   Title                 : 40-ZR-90 Resonance Parameter: ARE 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : R.Schwengner 
#   Institute             : (2GERZFK): Helmholtz-Zentrum Dresden-Rossendorf, Dresden 
#   Reference             : (J,PR/C,78,064314,2008) 
#   Year                  : 2008 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 90 
#   Nuclide               : 40-ZR-90 
# Reaction: 
#   entry-subent-pointer  :['L0142-002-4'] 
#   EXFOR reaction        :['(40-ZR-90(G,EL),,ARE)'] 
#   incident energy       : 2.1862e+06 eV - 1.2880e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/L01/L0142.x4 
#   nds                   : https://nds.iaea.org/EXFOR/L0142
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   2.1862E+06   1.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.9000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   3.3080E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.7000E+00   1.9000E+00          NAN          NAN          NAN          NAN
   3.8420E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   3.9324E+06   6.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   8.3000E+00   3.2000E+00          NAN          NAN          NAN          NAN
   4.5070E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.1000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   4.5783E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   5.1830E+06   5.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.1000E+00   2.4000E+00          NAN          NAN          NAN          NAN
   5.3045E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   5.7000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   5.5036E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.4000E+01   6.0000E+00          NAN          NAN          NAN          NAN
   5.7850E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   5.0000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   5.8079E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   5.8844E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.8000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   6.2958E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.4000E+02   6.3000E+01          NAN          NAN          NAN          NAN
   6.3898E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   8.2000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   6.4243E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.7900E+02   4.3000E+01          NAN          NAN          NAN          NAN
   6.5657E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   6.6000E+01   9.0000E+00          NAN          NAN          NAN          NAN
   6.6692E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.9000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   6.7614E+06   2.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   6.4400E+02   6.0000E+01          NAN          NAN          NAN          NAN
   6.8754E+06   2.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.9800E+02   2.2000E+01          NAN          NAN          NAN          NAN
   6.9604E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.4000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   7.0420E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.5000E+01   6.0000E+00          NAN          NAN          NAN          NAN
   7.0856E+06   1.0000E+03        1.0        NAN          NAN          NAN          NAN          NAN   3.0000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   7.1982E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   7.2490E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   9.9000E+01   1.7000E+01          NAN          NAN          NAN          NAN
   7.2809E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.3610E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.3000E+01   7.0000E+00          NAN          NAN          NAN          NAN
   7.3876E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   7.5000E+01   1.4000E+01          NAN          NAN          NAN          NAN
   7.4245E+06   1.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.4000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   7.4338E+06   8.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.9000E+01   6.0000E+00          NAN          NAN          NAN          NAN
   7.4680E+06   2.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   7.4749E+06   3.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.2700E+02   2.3000E+01          NAN          NAN          NAN          NAN
   7.6858E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   7.0000E+01   1.3000E+01          NAN          NAN          NAN          NAN
