# Header: 
#   Title                 : 24-CR-50 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : E.Arai 
#   Institute             : (2JPNTIT): Tokyo Institute of Technology, Tokyo 
#   Reference             : (J,JPJ,52,(3),802,198303) 
#   Year                  : 1983 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 24 
#   A                     : 50 
#   Nuclide               : 24-CR-50 
# Reaction: 
#   entry-subent-pointer  :['E0900-008-1'] 
#   EXFOR reaction        :['(24-CR-50(P,TOT),,WID)'] 
#   incident energy       : 3.1592e+06 eV - 3.9918e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E09/E0900.x4 
#   nds                   : https://nds.iaea.org/EXFOR/E0900
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   3.1592E+06          NAN        0.5        0.0   1.7000E+03   1.7000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2344E+06          NAN        0.5        0.0   7.0000E+02   7.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2618E+06          NAN        0.5        0.0   6.0000E+02   6.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3189E+06          NAN        0.5        0.0   6.0000E+02   6.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3760E+06          NAN        0.5        0.0   7.5000E+02   7.5000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4149E+06          NAN        0.5        0.0   1.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4514E+06          NAN        0.5        0.0   3.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4768E+06          NAN        0.5        0.0   3.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4865E+06          NAN        0.5        0.0   5.0000E+03   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5268E+06          NAN        0.5        0.0   2.0000E+03   2.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5438E+06          NAN        0.5        0.0   1.0000E+04   1.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6035E+06          NAN        0.5        0.0   1.0000E+02   1.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6431E+06          NAN        0.5        0.0   1.0000E+03   1.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6676E+06          NAN        0.5        0.0   3.8000E+03   3.8000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7170E+06          NAN        0.5        0.0   1.5000E+04   1.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7473E+06          NAN        0.5        0.0   3.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7885E+06          NAN        0.5        0.0   2.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8332E+06          NAN        0.5        0.0   4.0000E+02   4.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8666E+06          NAN        0.5        0.0   1.2000E+03   1.2000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8721E+06          NAN        0.5        0.0   1.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8919E+06          NAN        0.5        0.0   4.0000E+02   4.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9214E+06          NAN        0.5        0.0   2.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9520E+06          NAN        0.5        0.0   3.0000E+03   3.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9822E+06          NAN        0.5        0.0   1.0000E+03   1.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9918E+06          NAN        0.5        0.0   4.0000E+03   4.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
