# Header: 
#   Title                 : 24-CR-50 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : E0900-009-1 
#   First Author          : E.Arai 
#   Institute             : (2JPNTIT): Tokyo Institute of Technology, Tokyo 
#   Reference             : (J,JPJ,52,(3),802,198303) 
#   Year                  : 1983 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 24 
#   A                     : 50 
#   Isomer                :  
#   Nuclide               : 24-CR-50 
# Reaction: 
#   EXFOR Reaction        : (24-CR-50(P,TOT),,WID) 
#   Incident Energy Type   : 3.1687e+06 eV - 3.9782e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E09/E0900.x4 
#   nds                   : https://nds.iaea.org/EXFOR/E0900
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   3.1687E+06          NAN        0.5        1.0   2.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1725E+06          NAN        0.5        1.0   1.6000E+03   1.6000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.1929E+06          NAN        0.5        1.0   3.3000E+03   3.3000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2205E+06          NAN        0.5        1.0   2.8000E+02   2.8000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2961E+06          NAN        0.5        1.0   2.8000E+02   2.8000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3608E+06          NAN        0.5        1.0   8.0000E+02   8.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5048E+06          NAN        0.5        1.0   4.0000E+02   4.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5756E+06          NAN        0.5        1.0   3.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5963E+06          NAN        0.5        1.0   1.0000E+02   1.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6356E+06          NAN        0.5        1.0   3.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6610E+06          NAN        0.5        1.0   2.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6917E+06          NAN        0.5        1.0   1.7000E+03   1.7000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9298E+06          NAN        0.5        1.0   5.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9782E+06          NAN        0.5        1.0   1.0000E+02   1.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
