# Header: 
#   Title                 : 50-SN-124 Resonance Parameter: ARE 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : M0791-003-2 
#   First Author          : K.Govaert 
#   Institute             : (2BLGGHT): Universiteit Gent, Gent 
#   Reference             : (J,PR/C,57,2229,1998) 
#   Year                  : 1998 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 50 
#   A                     : 124 
#   Isomer                :  
#   Nuclide               : 50-SN-124 
# Reaction: 
#   EXFOR Reaction        : (50-SN-124(G,EL),,ARE) 
#   Incident Energy Type   : 4.2191e+06 eV - 8.4332e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0791.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0791
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   4.2191E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2600E+01          NAN          NAN          NAN          NAN          NAN
   4.2634E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2400E+01          NAN          NAN          NAN          NAN          NAN
   4.6057E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E+01          NAN          NAN          NAN          NAN          NAN
   4.9537E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5500E+01          NAN          NAN          NAN          NAN          NAN
   5.0647E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.9000E+01          NAN          NAN          NAN          NAN          NAN
   5.8425E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5100E+02          NAN          NAN          NAN          NAN          NAN
   5.8697E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E+01          NAN          NAN          NAN          NAN          NAN
   5.9025E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E+01          NAN          NAN          NAN          NAN          NAN
   5.9517E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0800E+02          NAN          NAN          NAN          NAN          NAN
   5.9684E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.8000E+01          NAN          NAN          NAN          NAN          NAN
   6.0020E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.6000E+01          NAN          NAN          NAN          NAN          NAN
   6.1290E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7100E+02          NAN          NAN          NAN          NAN          NAN
   6.1708E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3300E+02          NAN          NAN          NAN          NAN          NAN
   6.1840E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.4700E+02          NAN          NAN          NAN          NAN          NAN
   6.2365E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1100E+02          NAN          NAN          NAN          NAN          NAN
   6.2871E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.8000E+01          NAN          NAN          NAN          NAN          NAN
   6.3216E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8900E+02          NAN          NAN          NAN          NAN          NAN
   6.3691E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.6900E+02          NAN          NAN          NAN          NAN          NAN
   6.4531E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.7000E+01          NAN          NAN          NAN          NAN          NAN
   6.4675E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3200E+02          NAN          NAN          NAN          NAN          NAN
   6.5032E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.9000E+01          NAN          NAN          NAN          NAN          NAN
   6.5240E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1900E+02          NAN          NAN          NAN          NAN          NAN
   6.5485E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8800E+02          NAN          NAN          NAN          NAN          NAN
   6.5608E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4800E+02          NAN          NAN          NAN          NAN          NAN
   6.5658E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.4300E+02          NAN          NAN          NAN          NAN          NAN
   6.5841E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6100E+02          NAN          NAN          NAN          NAN          NAN
   6.5998E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.4000E+01          NAN          NAN          NAN          NAN          NAN
   6.6356E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0700E+02          NAN          NAN          NAN          NAN          NAN
   6.6779E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E+02          NAN          NAN          NAN          NAN          NAN
   6.6833E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6500E+02          NAN          NAN          NAN          NAN          NAN
   6.7054E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2100E+02          NAN          NAN          NAN          NAN          NAN
   6.7136E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2700E+02          NAN          NAN          NAN          NAN          NAN
   6.7223E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7700E+02          NAN          NAN          NAN          NAN          NAN
   6.7642E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9700E+02          NAN          NAN          NAN          NAN          NAN
   6.7756E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3600E+02          NAN          NAN          NAN          NAN          NAN
   6.7906E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E+02          NAN          NAN          NAN          NAN          NAN
   6.8080E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0500E+02          NAN          NAN          NAN          NAN          NAN
   6.8471E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2500E+02          NAN          NAN          NAN          NAN          NAN
   6.9021E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.8000E+01          NAN          NAN          NAN          NAN          NAN
   6.9282E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.7000E+01          NAN          NAN          NAN          NAN          NAN
   6.9389E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.8000E+01          NAN          NAN          NAN          NAN          NAN
   6.9475E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.9000E+01          NAN          NAN          NAN          NAN          NAN
   7.0180E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E+02          NAN          NAN          NAN          NAN          NAN
   7.0325E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1100E+02          NAN          NAN          NAN          NAN          NAN
   7.0622E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.1000E+01          NAN          NAN          NAN          NAN          NAN
   7.0711E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.0000E+01          NAN          NAN          NAN          NAN          NAN
   7.0865E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.2000E+01          NAN          NAN          NAN          NAN          NAN
   7.1257E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.5000E+01          NAN          NAN          NAN          NAN          NAN
   7.2338E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.5000E+01          NAN          NAN          NAN          NAN          NAN
