# Header: 
#   Title                 : 28-NI-58 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : G0036-003-5 
#   First Author          : F.Bauwens 
#   Institute             : (2BLGGHT): Universiteit Gent, Gent 
#   Reference             : (J,PR/C,62,024302,2000) 
#   Year                  : 2000 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 28 
#   A                     : 58 
#   Isomer                :  
#   Nuclide               : 28-NI-58 
# Reaction: 
#   EXFOR Reaction        : (28-NI-58(G,EL),,WID) 
#   Incident Energy Type   : 2.0149e+06 eV - 9.7230e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/G00/G0036.x4 
#   nds                   : https://nds.iaea.org/EXFOR/G0036
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   2.0149E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.9000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   2.0346E+06   3.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   1.4000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   2.3851E+06   9.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   1.7000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   2.5984E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.8000E-02   9.0000E-03          NAN          NAN          NAN          NAN
   2.6328E+06   1.3000E+03        1.0        NAN          NAN          NAN          NAN          NAN   4.0000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   2.7418E+06   7.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   4.6000E-03   1.0000E-03          NAN          NAN          NAN          NAN
   3.0378E+06   7.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   1.5000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   3.2022E+06   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   3.2537E+06   4.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.5000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   3.2639E+06   6.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   1.2000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   3.2691E+06   8.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   6.7000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   3.2737E+06   7.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   7.8000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   3.4509E+06   5.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.7000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   3.5952E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.3000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   3.9436E+06   1.2000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   4.1064E+06   1.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   4.5741E+06   5.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.2000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   4.9540E+06   8.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.2000E-02   5.0000E-03          NAN          NAN          NAN          NAN
   5.3593E+06   1.6000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   5.3940E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.1000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   5.4522E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.0000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   5.5280E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   5.6000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   5.9053E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.8000E-02   3.0000E-03          NAN          NAN          NAN          NAN
   6.0273E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.3500E-01   1.2000E-02          NAN          NAN          NAN          NAN
   6.4249E+06   9.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.9000E-02   7.0000E-03          NAN          NAN          NAN          NAN
   6.4307E+06   1.0000E+03        1.0        NAN          NAN          NAN          NAN          NAN   6.6000E-02   7.0000E-03          NAN          NAN          NAN          NAN
   6.6850E+06   9.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.2600E-01   1.4000E-02          NAN          NAN          NAN          NAN
   6.8929E+06   1.5000E+03        1.0        NAN          NAN          NAN          NAN          NAN   4.0000E-02   2.0000E-02          NAN          NAN          NAN          NAN
   7.0482E+06   9.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   5.5200E-01   1.7000E-02          NAN          NAN          NAN          NAN
   7.2496E+06   1.1000E+03        1.0        NAN          NAN          NAN          NAN          NAN   4.9000E-02   1.7000E-02          NAN          NAN          NAN          NAN
   7.2717E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.5600E-01   4.5000E-02          NAN          NAN          NAN          NAN
   7.3888E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   4.5700E-01   2.4000E-02          NAN          NAN          NAN          NAN
   7.5851E+06   6.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   8.9000E-02   4.1000E-02          NAN          NAN          NAN          NAN
   7.5959E+06   6.0000E+02        2.0        NAN          NAN          NAN          NAN          NAN   8.8000E-02   1.3000E-02          NAN          NAN          NAN          NAN
   7.6160E+06   1.0000E+03        1.0        NAN          NAN          NAN          NAN          NAN   4.8000E-02   2.0000E-02          NAN          NAN          NAN          NAN
   7.7097E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   6.3200E-01   2.3000E-02          NAN          NAN          NAN          NAN
   7.7660E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.2200E-01   2.0000E-02          NAN          NAN          NAN          NAN
   7.8073E+06   5.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   5.6400E-01   6.7000E-02          NAN          NAN          NAN          NAN
   7.8767E+06   2.6000E+03        1.0        NAN          NAN          NAN          NAN          NAN   3.4000E-01   7.2000E-02          NAN          NAN          NAN          NAN
   8.0686E+06   1.2000E+03        1.0        NAN          NAN          NAN          NAN          NAN   3.3100E-01   4.3000E-02          NAN          NAN          NAN          NAN
   8.0963E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.8400E-01   5.2000E-02          NAN          NAN          NAN          NAN
   8.2373E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.5900E+00   5.5000E-02          NAN          NAN          NAN          NAN
   8.3171E+06   1.7000E+03        1.0        NAN          NAN          NAN          NAN          NAN   2.3900E-01   3.6000E-02          NAN          NAN          NAN          NAN
   8.3951E+06   1.2000E+03        1.0        NAN          NAN          NAN          NAN          NAN   8.3600E-01   7.8000E-02          NAN          NAN          NAN          NAN
   8.4610E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   8.9300E-01   4.8000E-02          NAN          NAN          NAN          NAN
   8.5141E+06   4.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   6.8600E-01   5.1000E-02          NAN          NAN          NAN          NAN
   8.5527E+06   1.3000E+03        1.0        NAN          NAN          NAN          NAN          NAN   4.7000E-01   4.4000E-02          NAN          NAN          NAN          NAN
   8.6005E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   8.0300E-01   8.0000E-02          NAN          NAN          NAN          NAN
   8.6793E+06   8.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   2.0520E+00   1.0300E-01          NAN          NAN          NAN          NAN
   8.8574E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   7.5100E-01   1.4700E-01          NAN          NAN          NAN          NAN
   8.8802E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.1700E+00   4.5000E-02          NAN          NAN          NAN          NAN
   8.9346E+06   5.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.4740E+00   5.2000E-02          NAN          NAN          NAN          NAN
   8.9613E+06   7.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   3.7800E-01   3.9000E-02          NAN          NAN          NAN          NAN
   9.0734E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   8.8800E-01   6.0000E-02          NAN          NAN          NAN          NAN
   9.1569E+06   7.0000E+01        1.0        NAN          NAN          NAN          NAN          NAN   5.9400E-01   7.9000E-02          NAN          NAN          NAN          NAN
   9.1907E+06   5.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   7.9100E-01   7.5000E-02          NAN          NAN          NAN          NAN
   9.3264E+06   8.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   9.7500E-01   6.3000E-02          NAN          NAN          NAN          NAN
   9.3685E+06   6.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.2380E+00   1.1500E-01          NAN          NAN          NAN          NAN
   9.4554E+06   1.8000E+03        1.0        NAN          NAN          NAN          NAN          NAN   2.2200E-01   4.2000E-02          NAN          NAN          NAN          NAN
   9.5233E+06   1.3000E+03        1.0        NAN          NAN          NAN          NAN          NAN   2.2500E+00   1.4600E-01          NAN          NAN          NAN          NAN
   9.5540E+06   2.1000E+03        1.0        NAN          NAN          NAN          NAN          NAN   1.3620E+00   8.4000E-02          NAN          NAN          NAN          NAN
   9.6305E+06   2.4000E+03        1.0        NAN          NAN          NAN          NAN          NAN   1.1890E+00   1.1600E-01          NAN          NAN          NAN          NAN
   9.6678E+06   1.5000E+03        1.0        NAN          NAN          NAN          NAN          NAN   8.1200E-01   1.6600E-01          NAN          NAN          NAN          NAN
   9.7230E+06   9.0000E+02        1.0        NAN          NAN          NAN          NAN          NAN   1.7600E+00   1.2800E-01          NAN          NAN          NAN          NAN
