# Header: 
#   Title                 : 26-FE-54 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F1076-008-0 
#   First Author          : D.P.Lindstrom 
#   Institute             : (1USATNL): Triangle Universities Nuclear Laboratory , Durham, NC 
#   Reference             : (J,NP/A,168,37,1971) 
#   Year                  : 1971 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 26 
#   A                     : 54 
#   Isomer                :  
#   Nuclide               : 26-FE-54 
# Reaction: 
#   EXFOR Reaction        : (26-FE-54(P,EL),,WID) 
#   Incident Energy Type   : 1.8017e+06 eV - 3.2883e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F10/F1076.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F1076
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.8017E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   1.9141E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.2125E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.2353E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.0000E+00   5.0000E+00          NAN          NAN          NAN          NAN
   2.2431E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2500E+02   4.0000E+01          NAN          NAN          NAN          NAN
   2.3055E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.3584E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   2.4352E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E+02   3.5000E+01          NAN          NAN          NAN          NAN
   2.4363E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.0000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.5013E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2500E+02   2.5000E+01          NAN          NAN          NAN          NAN
   2.5475E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8000E+02   3.5000E+01          NAN          NAN          NAN          NAN
   2.5776E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.6048E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.6253E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.6456E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.6854E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7500E+02   4.0000E+01          NAN          NAN          NAN          NAN
   2.7302E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   2.7500E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN
   2.7509E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E+02   8.0000E+01          NAN          NAN          NAN          NAN
   2.7647E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.5000E+02   5.0000E+01          NAN          NAN          NAN          NAN
   2.7997E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.5000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   2.8233E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E+02   5.0000E+01          NAN          NAN          NAN          NAN
   2.8632E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8000E+02   2.5000E+01          NAN          NAN          NAN          NAN
   2.8671E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   2.9445E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   2.9530E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.5000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   2.9549E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN
   3.0200E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   3.0205E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E+02   3.0000E+01          NAN          NAN          NAN          NAN
   3.0462E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   3.0563E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E+02   3.0000E+01          NAN          NAN          NAN          NAN
   3.0567E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN
   3.0802E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   3.0963E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.0000E+00   5.0000E+00          NAN          NAN          NAN          NAN
   3.1160E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   3.1219E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E+03   1.0000E+02          NAN          NAN          NAN          NAN
   3.1257E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   3.1364E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.0000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   3.1663E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6000E+03   1.2000E+02          NAN          NAN          NAN          NAN
   3.1835E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.0000E+01   1.5000E+01          NAN          NAN          NAN          NAN
   3.2057E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.5000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   3.2090E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5000E+01   8.0000E+00          NAN          NAN          NAN          NAN
   3.2292E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E+02   3.5000E+01          NAN          NAN          NAN          NAN
