# Header: 
#   Title                 : 12-MG-25 Resonance Parameter: WID/STR,,RG 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : D5137-002-0 
#   First Author          : A.S.Kachan 
#   Institute             : (4UKRKFT): Kharkovskii Fiziko-Tekhnicheskii Institute , Kharkov 
#   Reference             : (J,VAT/I,,(3/109),16,2017) 
#   Year                  : 2017 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 12 
#   A                     : 25 
#   Isomer                :  
#   Nuclide               : 12-MG-25 
# Reaction: 
#   EXFOR Reaction        : (12-MG-25(P,G),,WID/STR,,RG) 
#   Incident Energy       : 1.3750e+06 eV - 1.9980e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D51/D5137.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D5137
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.3750E+06          NAN        NAN        NAN          NAN          NAN   2.1000E+01   7.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.5870E+06          NAN        NAN        NAN          NAN          NAN   6.3000E+00   1.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.6490E+06          NAN        NAN        NAN          NAN          NAN   3.0000E+01   9.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.6990E+06          NAN        NAN        NAN          NAN          NAN   1.8000E+01   5.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.7140E+06          NAN        NAN        NAN          NAN          NAN   4.2000E+01   9.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.7440E+06          NAN        NAN        NAN          NAN          NAN   2.7000E+00   1.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.7480E+06          NAN        NAN        NAN          NAN          NAN   1.7000E+00   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7630E+06          NAN        NAN        NAN          NAN          NAN   1.5000E+00   6.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7740E+06          NAN        NAN        NAN          NAN          NAN   3.6000E+00   1.2000E+00          NAN          NAN          NAN          NAN          NAN          NAN
   1.7760E+06          NAN        NAN        NAN          NAN          NAN   8.0000E-01   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.8110E+06          NAN        NAN        NAN          NAN          NAN   3.0000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.8290E+06          NAN        NAN        NAN          NAN          NAN   6.0000E-01   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.8330E+06          NAN        NAN        NAN          NAN          NAN   1.8000E+00   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.8990E+06          NAN        NAN        NAN          NAN          NAN   2.2000E+00   9.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.9980E+06          NAN        NAN        NAN          NAN          NAN   3.8000E+00   1.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN
