# Header: 
#   Title                 : 60-ND-144 Resonance Parameter: WID/RED 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : E.N.Karzhavina 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SNP,8,371,1969) 
#   Year                  : 1969 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 60 
#   A                     : 144 
#   Nuclide               : 60-ND-144 
# Reaction: 
#   entry-subent-pointer  :['40113-018-0'] 
#   EXFOR reaction        :['(60-ND-144(N,EL),,WID/RED)'] 
#   incident energy       : 3.7400e-04 eV - 1.3540e-02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40113.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40113
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 3.7400E-04 2.0000E-06        NAN        0.0        NAN        NAN        NAN        NAN 7.9000E-01 5.2000E-02        NAN        NAN
 7.3600E-04 4.0000E-06        NAN        0.0        NAN        NAN        NAN        NAN 2.1400E-02 1.8000E-03        NAN        NAN
 1.2800E-03 6.0000E-06        NAN        0.0        NAN        NAN        NAN        NAN 7.7000E-01 4.2000E-02        NAN        NAN
 1.6350E-03 8.0000E-06        NAN        0.0        NAN        NAN        NAN        NAN 1.0600E-01 8.0000E-03        NAN        NAN
 1.9800E-03 1.0000E-05        NAN        0.0        NAN        NAN        NAN        NAN 3.1500E-01 3.6000E-02        NAN        NAN
 2.7840E-03 2.0000E-05        NAN        0.0        NAN        NAN        NAN        NAN 7.6000E-02 1.9000E-02        NAN        NAN
 3.5670E-03 2.4000E-05        NAN        0.0        NAN        NAN        NAN        NAN 2.8500E-01 3.4000E-02        NAN        NAN
 3.7600E-03 2.7000E-05        NAN        0.0        NAN        NAN        NAN        NAN 1.0000E-02        NAN        NAN        NAN
 4.9850E-03 4.0000E-05        NAN        0.0        NAN        NAN        NAN        NAN 3.7000E-01 5.7000E-02        NAN        NAN
 5.2000E-03 4.5000E-05        NAN        0.0        NAN        NAN        NAN        NAN 1.0000E-02        NAN        NAN        NAN
 5.6970E-03 5.0000E-05        NAN        0.0        NAN        NAN        NAN        NAN 2.6000E-02 1.3000E-02        NAN        NAN
 6.2070E-03 6.0000E-05        NAN        0.0        NAN        NAN        NAN        NAN 1.0100E-01 2.5000E-02        NAN        NAN
 6.9100E-03 7.0000E-05        NAN        0.0        NAN        NAN        NAN        NAN 5.1700E-01 6.0000E-02        NAN        NAN
 7.5940E-03 7.5000E-05        NAN        0.0        NAN        NAN        NAN        NAN 3.6000E-02 1.8000E-02        NAN        NAN
 8.3000E-03 8.5000E-05        NAN        0.0        NAN        NAN        NAN        NAN 9.9000E-02 2.6000E-02        NAN        NAN
 9.6110E-03 1.0000E-04        NAN        0.0        NAN        NAN        NAN        NAN 2.2500E-01 4.0000E-02        NAN        NAN
 9.9300E-03 1.1500E-04        NAN        0.0        NAN        NAN        NAN        NAN 2.4000E-01 4.0000E-02        NAN        NAN
 1.0930E-02 1.3000E-04        NAN        0.0        NAN        NAN        NAN        NAN 3.2500E-01 4.8000E-02        NAN        NAN
 1.1730E-02 1.5000E-04        NAN        0.0        NAN        NAN        NAN        NAN 7.4000E-02        NAN        NAN        NAN
 1.3540E-02 2.0000E-04        NAN        0.0        NAN        NAN        NAN        NAN 3.9000E-01 7.0000E-02        NAN        NAN
