# Header: 
#   Title                 : 90-TH-232 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : P.Ribon 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : ((R,CEA-N-1149,1969)=(T,RIBON,196912)) 
#   Year                  : 1969 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 90 
#   A                     : 232 
#   Nuclide               : 90-TH-232 
# Reaction: 
#   entry-subent-pointer  :['20149-056-0'] 
#   EXFOR reaction        :['(90-TH-232(N,G),,WID)'] 
#   incident energy       : 8.3160e-06 eV - 2.7931e-03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20149.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20149
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 8.3160E-06        NAN        NAN        NAN        NAN        NAN 2.9000E-02 8.7000E-03        NAN        NAN        NAN        NAN
 2.1753E-05        NAN        NAN        NAN        NAN        NAN 2.4000E-02 1.9200E-03        NAN        NAN        NAN        NAN
 2.3409E-05        NAN        NAN        NAN        NAN        NAN 2.6200E-02 2.0960E-03        NAN        NAN        NAN        NAN
 5.9484E-05        NAN        NAN        NAN        NAN        NAN 2.2000E-02 1.9800E-03        NAN        NAN        NAN        NAN
 6.9194E-05        NAN        NAN        NAN        NAN        NAN 2.0500E-02 4.7150E-03        NAN        NAN        NAN        NAN
 1.1300E-04        NAN        NAN        NAN        NAN        NAN 2.0400E-02 2.6520E-03        NAN        NAN        NAN        NAN
 1.2084E-04        NAN        NAN        NAN        NAN        NAN 2.0700E-02 3.5190E-03        NAN        NAN        NAN        NAN
 1.2916E-04        NAN        NAN        NAN        NAN        NAN 1.6800E-02 2.5200E-03        NAN        NAN        NAN        NAN
 1.5435E-04        NAN        NAN        NAN        NAN        NAN 1.8800E-02 1.4288E-02        NAN        NAN        NAN        NAN
 1.7037E-04        NAN        NAN        NAN        NAN        NAN 1.9300E-02 5.9830E-03        NAN        NAN        NAN        NAN
 1.9273E-04        NAN        NAN        NAN        NAN        NAN 1.6800E-02 3.5280E-03        NAN        NAN        NAN        NAN
 1.9941E-04        NAN        NAN        NAN        NAN        NAN 1.7900E-02 2.8640E-03        NAN        NAN        NAN        NAN
 2.2132E-04        NAN        NAN        NAN        NAN        NAN 2.2000E-02 4.4000E-03        NAN        NAN        NAN        NAN
 2.5171E-04        NAN        NAN        NAN        NAN        NAN 2.5200E-02 4.7880E-03        NAN        NAN        NAN        NAN
 2.6328E-04        NAN        NAN        NAN        NAN        NAN 2.8000E-02 5.3200E-03        NAN        NAN        NAN        NAN
 2.8578E-04        NAN        NAN        NAN        NAN        NAN 2.4900E-02 4.7310E-03        NAN        NAN        NAN        NAN
 3.0548E-04        NAN        NAN        NAN        NAN        NAN 2.2000E-02 5.2800E-03        NAN        NAN        NAN        NAN
 3.2894E-04        NAN        NAN        NAN        NAN        NAN 2.3700E-02 1.0902E-02        NAN        NAN        NAN        NAN
 3.4183E-04        NAN        NAN        NAN        NAN        NAN 2.1300E-02 9.5850E-03        NAN        NAN        NAN        NAN
 3.6518E-04        NAN        NAN        NAN        NAN        NAN 2.3600E-02 8.7320E-03        NAN        NAN        NAN        NAN
 3.6932E-04        NAN        NAN        NAN        NAN        NAN 2.9000E-02 1.0440E-02        NAN        NAN        NAN        NAN
 4.0092E-04        NAN        NAN        NAN        NAN        NAN 3.1100E-02 8.7080E-03        NAN        NAN        NAN        NAN
 4.5422E-04        NAN        NAN        NAN        NAN        NAN 4.4800E-02 2.2848E-02        NAN        NAN        NAN        NAN
 4.6254E-04        NAN        NAN        NAN        NAN        NAN 2.2400E-02 1.5008E-02        NAN        NAN        NAN        NAN
 4.8877E-04        NAN        NAN        NAN        NAN        NAN 1.9900E-02 1.3731E-02        NAN        NAN        NAN        NAN
 5.2850E-04        NAN        NAN        NAN        NAN        NAN 3.3300E-02 1.2321E-02        NAN        NAN        NAN        NAN
 5.6978E-04        NAN        NAN        NAN        NAN        NAN 2.5300E-02 1.1638E-02        NAN        NAN        NAN        NAN
 5.9828E-04        NAN        NAN        NAN        NAN        NAN 3.3900E-02 1.3221E-02        NAN        NAN        NAN        NAN
 6.5660E-04        NAN        NAN        NAN        NAN        NAN 2.4500E-02 1.2495E-02        NAN        NAN        NAN        NAN
 6.6530E-04        NAN        NAN        NAN        NAN        NAN 1.0900E-02 8.9380E-03        NAN        NAN        NAN        NAN
 6.7520E-04        NAN        NAN        NAN        NAN        NAN 2.1000E-02 1.8270E-02        NAN        NAN        NAN        NAN
 6.8744E-04        NAN        NAN        NAN        NAN        NAN 2.0200E-02 1.5958E-02        NAN        NAN        NAN        NAN
 7.1292E-04        NAN        NAN        NAN        NAN        NAN 8.4000E-03        NAN        NAN        NAN        NAN        NAN
 7.4109E-04        NAN        NAN        NAN        NAN        NAN 2.4000E-02        NAN        NAN        NAN        NAN        NAN
 8.0424E-04        NAN        NAN        NAN        NAN        NAN 2.9000E-02 2.3490E-02        NAN        NAN        NAN        NAN
 8.4235E-04        NAN        NAN        NAN        NAN        NAN 2.9800E-02 1.4602E-02        NAN        NAN        NAN        NAN
 8.6632E-04        NAN        NAN        NAN        NAN        NAN 4.1100E-02 1.6440E-02        NAN        NAN        NAN        NAN
 8.9014E-04        NAN        NAN        NAN        NAN        NAN 4.1100E-02 1.1919E-02        NAN        NAN        NAN        NAN
 9.4322E-04        NAN        NAN        NAN        NAN        NAN 2.0500E-02 1.0865E-02        NAN        NAN        NAN        NAN
 9.8292E-04        NAN        NAN        NAN        NAN        NAN 2.2600E-02 1.4916E-02        NAN        NAN        NAN        NAN
 9.9053E-04        NAN        NAN        NAN        NAN        NAN 3.2200E-02 2.0930E-02        NAN        NAN        NAN        NAN
 1.0106E-03        NAN        NAN        NAN        NAN        NAN 3.4500E-02 2.7600E-02        NAN        NAN        NAN        NAN
 1.0644E-03        NAN        NAN        NAN        NAN        NAN 2.5000E-02        NAN        NAN        NAN        NAN        NAN
 1.1100E-03        NAN        NAN        NAN        NAN        NAN 6.9200E-02 3.6676E-02        NAN        NAN        NAN        NAN
 1.1389E-03        NAN        NAN        NAN        NAN        NAN 1.0000E-03        NAN        NAN        NAN        NAN        NAN
 1.1504E-03        NAN        NAN        NAN        NAN        NAN 3.4700E-02 2.6025E-02        NAN        NAN        NAN        NAN
 1.2280E-03        NAN        NAN        NAN        NAN        NAN 2.5400E-02 1.9558E-02        NAN        NAN        NAN        NAN
 1.2431E-03        NAN        NAN        NAN        NAN        NAN-3.7000E-03        NAN        NAN        NAN        NAN        NAN
 1.2489E-03        NAN        NAN        NAN        NAN        NAN 3.6400E-02 2.4024E-02        NAN        NAN        NAN        NAN
 1.2921E-03        NAN        NAN        NAN        NAN        NAN 3.9400E-02 2.5610E-02        NAN        NAN        NAN        NAN
 1.3016E-03        NAN        NAN        NAN        NAN        NAN 1.9700E-02        NAN        NAN        NAN        NAN        NAN
 1.3548E-03        NAN        NAN        NAN        NAN        NAN 8.2000E-03        NAN        NAN        NAN        NAN        NAN
 1.3979E-03        NAN        NAN        NAN        NAN        NAN 2.3500E-02        NAN        NAN        NAN        NAN        NAN
 1.4266E-03        NAN        NAN        NAN        NAN        NAN-2.0000E-03        NAN        NAN        NAN        NAN        NAN
 1.5243E-03        NAN        NAN        NAN        NAN        NAN 4.0000E-02        NAN        NAN        NAN        NAN        NAN
 1.5895E-03        NAN        NAN        NAN        NAN        NAN 1.5000E-02        NAN        NAN        NAN        NAN        NAN
 1.6026E-03        NAN        NAN        NAN        NAN        NAN 1.9100E-02        NAN        NAN        NAN        NAN        NAN
 1.6309E-03        NAN        NAN        NAN        NAN        NAN 1.7000E-02        NAN        NAN        NAN        NAN        NAN
 1.6408E-03        NAN        NAN        NAN        NAN        NAN 2.0100E-02        NAN        NAN        NAN        NAN        NAN
 1.6614E-03        NAN        NAN        NAN        NAN        NAN 4.5000E-02 4.0950E-02        NAN        NAN        NAN        NAN
 1.7628E-03        NAN        NAN        NAN        NAN        NAN 3.5400E-02 3.1506E-02        NAN        NAN        NAN        NAN
 1.8035E-03        NAN        NAN        NAN        NAN        NAN 6.4000E-02 4.5440E-02        NAN        NAN        NAN        NAN
 1.8121E-03        NAN        NAN        NAN        NAN        NAN 4.2900E-02        NAN        NAN        NAN        NAN        NAN
 1.8242E-03        NAN        NAN        NAN        NAN        NAN 5.4000E-02 4.8060E-02        NAN        NAN        NAN        NAN
 1.8548E-03        NAN        NAN        NAN        NAN        NAN 5.3600E-02        NAN        NAN        NAN        NAN        NAN
 1.9004E-03        NAN        NAN        NAN        NAN        NAN 9.6000E-02 6.4320E-02        NAN        NAN        NAN        NAN
 1.9301E-03        NAN        NAN        NAN        NAN        NAN 2.4900E-02        NAN        NAN        NAN        NAN        NAN
 1.9511E-03        NAN        NAN        NAN        NAN        NAN 2.4200E-02        NAN        NAN        NAN        NAN        NAN
 1.9715E-03        NAN        NAN        NAN        NAN        NAN 2.8000E-02        NAN        NAN        NAN        NAN        NAN
 1.9883E-03        NAN        NAN        NAN        NAN        NAN 2.4600E-02        NAN        NAN        NAN        NAN        NAN
 2.0052E-03        NAN        NAN        NAN        NAN        NAN 2.4100E-02        NAN        NAN        NAN        NAN        NAN
 2.0621E-03        NAN        NAN        NAN        NAN        NAN 2.4000E-02        NAN        NAN        NAN        NAN        NAN
 2.1475E-03        NAN        NAN        NAN        NAN        NAN 3.9300E-02        NAN        NAN        NAN        NAN        NAN
 2.1618E-03        NAN        NAN        NAN        NAN        NAN 3.4000E-02        NAN        NAN        NAN        NAN        NAN
 2.1779E-03        NAN        NAN        NAN        NAN        NAN 2.6200E-02        NAN        NAN        NAN        NAN        NAN
 2.2865E-03        NAN        NAN        NAN        NAN        NAN 4.5000E-02        NAN        NAN        NAN        NAN        NAN
 2.3750E-03        NAN        NAN        NAN        NAN        NAN 1.2000E-02        NAN        NAN        NAN        NAN        NAN
 2.4188E-03        NAN        NAN        NAN        NAN        NAN 1.4900E-02        NAN        NAN        NAN        NAN        NAN
 2.5090E-03        NAN        NAN        NAN        NAN        NAN 7.0000E-03        NAN        NAN        NAN        NAN        NAN
 2.5633E-03        NAN        NAN        NAN        NAN        NAN-1.0000E-03        NAN        NAN        NAN        NAN        NAN
 2.6127E-03        NAN        NAN        NAN        NAN        NAN-2.3600E-02        NAN        NAN        NAN        NAN        NAN
 2.6353E-03        NAN        NAN        NAN        NAN        NAN-1.2000E-02        NAN        NAN        NAN        NAN        NAN
 2.6636E-03        NAN        NAN        NAN        NAN        NAN 3.0000E-02        NAN        NAN        NAN        NAN        NAN
 2.6886E-03        NAN        NAN        NAN        NAN        NAN 1.3000E-02        NAN        NAN        NAN        NAN        NAN
 2.7132E-03        NAN        NAN        NAN        NAN        NAN 1.1000E-02        NAN        NAN        NAN        NAN        NAN
 2.7735E-03        NAN        NAN        NAN        NAN        NAN 1.5300E-02        NAN        NAN        NAN        NAN        NAN
 2.7931E-03        NAN        NAN        NAN        NAN        NAN 1.6000E-02        NAN        NAN        NAN        NAN        NAN
