# Header: 
#   Title                 : 20-CA-40 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0948-003-0 
#   First Author          : E.Koltay 
#   Institute             : (3HUNDEB): Institute for Nuclear Research (ATOMKI), Debrecen 
#   Reference             : (J,NP/A,249,173,1975) 
#   Year                  : 1975 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 20 
#   A                     : 40 
#   Isomer                :  
#   Nuclide               : 20-CA-40 
# Reaction: 
#   EXFOR Reaction        : (20-CA-40(P,EL),,WID) 
#   Incident Energy Type   : 2.3880e+06 eV - 4.7880e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F09/F0948.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0948
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   2.3880E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   1.0000E+03   3.0000E+02          NAN          NAN          NAN          NAN
   2.4550E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   8.0000E+04   2.0000E+04          NAN          NAN          NAN          NAN
   2.7120E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   1.2000E+04   2.0000E+03          NAN          NAN          NAN          NAN
   2.7560E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   4.0000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   3.5030E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   1.0000E+03   2.0000E+02          NAN          NAN          NAN          NAN
   3.5370E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   1.2000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   3.6490E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   3.6000E+04   1.0000E+04          NAN          NAN          NAN          NAN
   3.7850E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   3.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   3.8770E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   2.0000E+03   5.0000E+02          NAN          NAN          NAN          NAN
   3.9590E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   1.0000E+03   2.0000E+02          NAN          NAN          NAN          NAN
   3.9610E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   2.0000E+03   4.0000E+02          NAN          NAN          NAN          NAN
   4.0370E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   6.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   4.0530E+06          NAN        4.5        NAN          NAN          NAN          NAN          NAN   4.0000E+02   1.0000E+02          NAN          NAN          NAN          NAN
   4.0890E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   3.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   4.1000E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   7.0000E+02   2.0000E+02          NAN          NAN          NAN          NAN
   4.1600E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   3.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   4.3780E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   3.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   4.3970E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   7.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   4.4190E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   4.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   4.4430E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   1.8000E+04   5.0000E+03          NAN          NAN          NAN          NAN
   4.5160E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   1.2000E+04   4.0000E+03          NAN          NAN          NAN          NAN
   4.5190E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   1.0000E+03   2.0000E+02          NAN          NAN          NAN          NAN
   4.5470E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   5.0000E+02   2.0000E+02          NAN          NAN          NAN          NAN
   4.5610E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   2.0000E+04   5.0000E+03          NAN          NAN          NAN          NAN
   4.6040E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   6.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   4.6790E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   3.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN
   4.7210E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   1.0000E+03   3.0000E+02          NAN          NAN          NAN          NAN
   4.7350E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   1.2000E+04   4.0000E+03          NAN          NAN          NAN          NAN
   4.7390E+06          NAN        2.5        NAN          NAN          NAN          NAN          NAN   1.2000E+04   4.0000E+03          NAN          NAN          NAN          NAN
   4.7880E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   7.0000E+03   3.0000E+03          NAN          NAN          NAN          NAN
