# Header: 
#   Title                 : 11-NA-23 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C1536-002-2 
#   First Author          : J.R.Vanhoy 
#   Institute             : (1USADKE): Duke University, Durham, NC 
#   Reference             : (J,PR/C,36,920,1987) 
#   Year                  : 1987 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 11 
#   A                     : 23 
#   Isomer                :  
#   Nuclide               : 11-NA-23 
# Reaction: 
#   EXFOR Reaction        : (11-NA-23(P,EL),,WID) 
#   Incident Energy Type   : 1.0870e+06 eV - 4.1240e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C15/C1536.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1536
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.0870E+06          NAN        2.0        0.0          NAN          NAN          NAN          NAN   4.1000E+02          NAN          NAN          NAN          NAN          NAN
   1.1280E+06          NAN        2.0        0.0          NAN          NAN          NAN          NAN   8.0000E+02          NAN          NAN          NAN          NAN          NAN
   1.1591E+06          NAN        2.0        0.0          NAN          NAN          NAN          NAN   3.0000E+02          NAN          NAN          NAN          NAN          NAN
   1.1691E+06          NAN        1.0        0.0          NAN          NAN          NAN          NAN   2.8000E+03          NAN          NAN          NAN          NAN          NAN
   1.2055E+06          NAN        2.0        1.0          NAN          NAN          NAN          NAN   1.8750E+01          NAN          NAN          NAN          NAN          NAN
   1.2073E+06          NAN        0.0        1.0          NAN          NAN          NAN          NAN   1.0000E+03          NAN          NAN          NAN          NAN          NAN
   1.2507E+06          NAN        1.0        0.0          NAN          NAN          NAN          NAN   2.5000E+01          NAN          NAN          NAN          NAN          NAN
   1.2781E+06          NAN        3.0        1.0          NAN          NAN          NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN
   1.3136E+06          NAN        1.0        0.0          NAN          NAN          NAN          NAN   1.2000E+03          NAN          NAN          NAN          NAN          NAN
   1.3220E+06          NAN        2.0        1.0          NAN          NAN          NAN          NAN   1.5000E+03          NAN          NAN          NAN          NAN          NAN
