# Header: 
#   Title                 : 44-RU-100 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : R.L.Macklin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,73,174,1980) 
#   Year                  : 1980 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 44 
#   A                     : 100 
#   Nuclide               : 44-RU-100 
# Reaction: 
#   entry-subent-pointer  :['10875-002-4'] 
#   EXFOR reaction        :['(44-RU-100(N,G),,WID)'] 
#   incident energy       : 2.6797e+03 eV - 1.1901e+04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10875.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10875
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 7.8432E+03        NAN        NAN        NAN        NAN        NAN 9.9000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 7.9250E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 7.9887E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 8.2998E+03        NAN        NAN        NAN        NAN        NAN 1.7000E-01 1.3000E-02        NAN        NAN        NAN        NAN
 8.4081E+03        NAN        NAN        NAN        NAN        NAN 1.1500E-01 5.0000E-03        NAN        NAN        NAN        NAN
 8.4519E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 8.5306E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 8.7172E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 8.9086E+03        NAN        NAN        NAN        NAN        NAN 9.8000E-02 4.0000E-03        NAN        NAN        NAN        NAN
 9.0016E+03        NAN        NAN        NAN        NAN        NAN 1.3100E-01 4.0000E-03        NAN        NAN        NAN        NAN
 9.1096E+03        NAN        NAN        NAN        NAN        NAN 1.5500E-01 1.1000E-02        NAN        NAN        NAN        NAN
 9.1730E+03        NAN        NAN        NAN        NAN        NAN 1.2900E-01 6.0000E-03        NAN        NAN        NAN        NAN
 9.2360E+03        NAN        NAN        NAN        NAN        NAN 1.2100E-01 6.0000E-03        NAN        NAN        NAN        NAN
 9.2593E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.4876E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.6178E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.7751E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.8245E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.9846E+03        NAN        NAN        NAN        NAN        NAN 1.6700E-01 4.0000E-03        NAN        NAN        NAN        NAN
 1.0411E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0455E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0577E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0605E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0628E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0763E+04        NAN        NAN        NAN        NAN        NAN 1.4700E-01 7.0000E-03        NAN        NAN        NAN        NAN
 1.0901E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0953E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1124E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1145E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1250E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1261E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1356E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1407E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1626E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1651E+04        NAN        NAN        NAN        NAN        NAN 1.2400E-01 6.0000E-03        NAN        NAN        NAN        NAN
 1.1731E+04        NAN        NAN        NAN        NAN        NAN 1.2800E-01 6.0000E-03        NAN        NAN        NAN        NAN
 1.1809E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1884E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1901E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
