# Header: 
#   Title                 : 8-O-18 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : J.K.Bair 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR/C,8,120,1973) 
#   Year                  : 1973 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 18 
#   Nuclide               : 8-O-18 
# Reaction: 
#   entry-subent-pointer  :['C1010-005-2'] 
#   EXFOR reaction        :['(8-O-18(P,TOT),,WID)'] 
#   incident energy       : 2.6440e+06 eV - 3.8630e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C10/C1010.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1010
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(P,TOT)      (P,G)     d(P,G)      (P,EL)   d(P,EL)       (P,F)     d(P,F)
 2.6440E+06        NAN        NAN        NAN 5.9000E+03 5.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN
 2.6910E+06        NAN        NAN        NAN 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7190E+06        NAN        NAN        NAN 6.0000E+03 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 2.7680E+06        NAN        NAN        NAN 6.0000E+03 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 2.9230E+06        NAN        NAN        NAN 6.0000E+03 3.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.0270E+06        NAN        NAN        NAN 2.3000E+04 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.0800E+06        NAN        NAN        NAN 6.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1510E+06        NAN        NAN        NAN 1.4000E+04 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.1650E+06        NAN        NAN        NAN 7.0000E+03 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.2520E+06        NAN        NAN        NAN 3.8000E+04 4.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.3700E+06        NAN        NAN        NAN 1.7000E+04 4.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.4630E+06        NAN        NAN        NAN 7.0000E+03 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.4700E+06        NAN        NAN        NAN 7.0000E+04 2.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN
 3.6530E+06        NAN        NAN        NAN 4.0000E+04 1.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN
 3.6800E+06        NAN        NAN        NAN 7.0000E+03 3.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.7050E+06        NAN        NAN        NAN 4.0000E+03 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 3.7480E+06        NAN        NAN        NAN 5.0000E+04 1.5000E+04        NAN        NAN        NAN        NAN        NAN        NAN
 3.7750E+06        NAN        NAN        NAN 1.5000E+04 1.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN
 3.7900E+06        NAN        NAN        NAN 6.0000E+04 2.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN
 3.8630E+06        NAN        NAN        NAN 4.5000E+04 1.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN
