# Header: 
#   Title                 : 14-SI-29 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C2612-014-5 
#   First Author          : C.P.Poirier 
#   Institute             : (1USAARL): Aerospace Research Labs, Wright-Patterson A.F. Base, OH 
#   Reference             : (J,PR/C,1,1982,1970) 
#   Year                  : 1970 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 14 
#   A                     : 29 
#   Isomer                :  
#   Nuclide               : 14-SI-29 
# Reaction: 
#   EXFOR Reaction        : (14-SI-29(P,EL),,WID) 
#   Incident Energy Type   : 1.3022e+09 eV - 2.4950e+09 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C26/C2612.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2612
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.3022E+09   5.0000E+05        1.0        0.0   1.7000E+01   5.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3267E+09   5.0000E+05        2.0        1.0   4.0000E+03   2.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3728E+09   5.0000E+05        1.0        1.0   5.6000E+03   6.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4723E+09   5.0000E+05        2.0        1.0   4.8000E+02   2.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5017E+09   5.0000E+05        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5058E+09   3.0000E+05        4.0        3.0   1.5000E+01   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5065E+09   3.0000E+05        4.0        3.0   2.2000E+01   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6412E+09   5.0000E+05        1.0        1.0   2.0000E+04   1.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6670E+09   5.0000E+05        NAN        2.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6715E+09   5.0000E+05        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6860E+09   2.0000E+06        2.0        1.0   5.0000E+03   1.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7899E+09   5.0000E+05        1.0        1.0   1.8000E+04   1.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9686E+09   5.0000E+05        1.0        0.0          NAN          NAN          NAN          NAN   2.6900E+03   5.0000E+01          NAN          NAN          NAN          NAN
   2.0398E+09   5.0000E+05        NAN        2.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0586E+09   5.0000E+05        NAN        3.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0838E+09   5.0000E+05        3.0        2.0          NAN          NAN          NAN          NAN   1.4000E+02   4.0000E+01          NAN          NAN          NAN          NAN
   2.1252E+09   5.0000E+05        NAN        2.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2290E+09   1.0000E+06        1.0        1.0          NAN          NAN          NAN          NAN   5.3000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   2.2341E+09   5.0000E+05        0.0        0.0          NAN          NAN          NAN          NAN   8.5000E+02   4.0000E+01          NAN          NAN          NAN          NAN
   2.3142E+09   5.0000E+05        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3370E+09   2.0000E+06        0.0        0.0          NAN          NAN          NAN          NAN   1.5000E+04   7.0000E+03          NAN          NAN          NAN          NAN
   2.3510E+09   2.0000E+06        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3670E+09   2.0000E+06        2.0        1.0          NAN          NAN          NAN          NAN   8.7000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   2.4120E+09   2.0000E+06        NAN        2.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4180E+09   2.0000E+06        0.0        0.0   2.9000E+04   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4920E+09   2.0000E+06        0.0        0.0   2.8000E+02   4.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4950E+09   2.0000E+06        1.0        1.0          NAN          NAN          NAN          NAN   6.3000E+03   4.0000E+02          NAN          NAN          NAN          NAN
