# Header: 
#   Title                 : 48-CD-114 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : C.Kohstall 
#   Institute             : (2GERIFS): Institute fuer Strahlenphysik, Stuttgart 
#   Reference             : (J,PR/C,72,034302,2005) 
#   Year                  : 2005 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 48 
#   A                     : 114 
#   Nuclide               : 48-CD-114 
# Reaction: 
#   entry-subent-pointer  :{0: 'M0779-005-3', 1: 'M0779-005-3', 2: 'M0779-005-3', 3: 'M0779-005-3', 4: 'M0779-005-3', 5: 'M0779-005-3', 6: 'M0779-005-3', 7: 'M0779-005-3', 8: 'M0779-005-3', 9: 'M0779-005-3', 10: 'M0779-005-3', 11: 'M0779-005-3', 12: 'M0779-005-3', 13: 'M0779-005-3', 14: 'M0779-005-3', 15: 'M0779-005-3', 16: 'M0779-005-3', 17: 'M0779-005-3'} 
#   EXFOR reaction        :{0: '(48-CD-114(G,EL),,WID)', 1: '(48-CD-114(G,EL),,WID)', 2: '(48-CD-114(G,EL),,WID)', 3: '(48-CD-114(G,EL),,WID)', 4: '(48-CD-114(G,EL),,WID)', 5: '(48-CD-114(G,EL),,WID)', 6: '(48-CD-114(G,EL),,WID)', 7: '(48-CD-114(G,EL),,WID)', 8: '(48-CD-114(G,EL),,WID)', 9: '(48-CD-114(G,EL),,WID)', 10: '(48-CD-114(G,EL),,WID)', 11: '(48-CD-114(G,EL),,WID)', 12: '(48-CD-114(G,EL),,WID)', 13: '(48-CD-114(G,EL),,WID)', 14: '(48-CD-114(G,EL),,WID)', 15: '(48-CD-114(G,EL),,WID)', 16: '(48-CD-114(G,EL),,WID)', 17: '(48-CD-114(G,EL),,WID)'} 
#   incident energy       : 2.3960e+06 eV - 3.9940e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0779.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0779
#
#        E_in(eV)          dE_in(eV)    data(G,TOT)(eV)       ddata(G,TOT)       data(G,G)         ddata(G,G)        data(G,EL)       ddata(G,EL)        data(G,F)        ddata(G,F)         data(G,A)        ddata(G,A)            spin_j        momentum_l
        2.3960E+06               NAN               NAN               NAN               NAN               NAN        7.0000E-04        2.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.4560E+06               NAN               NAN               NAN               NAN               NAN        1.1000E-02        1.8000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        2.6460E+06               NAN               NAN               NAN               NAN               NAN        6.0000E-04        2.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.6500E+06               NAN               NAN               NAN               NAN               NAN        8.0000E-04        2.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.7680E+06               NAN               NAN               NAN               NAN               NAN        7.2000E-03        8.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.8000E+06               NAN               NAN               NAN               NAN               NAN        1.1300E-02        1.3000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.0000E+06               NAN               NAN               NAN               NAN               NAN        1.1100E-02        1.1000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.0100E+06               NAN               NAN               NAN               NAN               NAN        1.7200E-02        1.3000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.2140E+06               NAN               NAN               NAN               NAN               NAN        2.5000E-03        3.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.2200E+06               NAN               NAN               NAN               NAN               NAN        1.2600E-02        8.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.7480E+06               NAN               NAN               NAN               NAN               NAN        1.1900E-02        9.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.7910E+06               NAN               NAN               NAN               NAN               NAN        1.4000E-03        5.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.7960E+06               NAN               NAN               NAN               NAN               NAN        3.1000E-03        9.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.8270E+06               NAN               NAN               NAN               NAN               NAN        4.5000E-03        1.4000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.8570E+06               NAN               NAN               NAN               NAN               NAN        3.2000E-03        6.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.9160E+06               NAN               NAN               NAN               NAN               NAN        7.8000E-03        1.6000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.9490E+06               NAN               NAN               NAN               NAN               NAN        6.2000E-03        1.5000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.9940E+06               NAN               NAN               NAN               NAN               NAN        1.2600E-02        2.6000E-03               NAN               NAN               NAN               NAN               1.0               NAN
