# Header: 
#   Title                 : 14-SI-28 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0608-004-2 
#   First Author          : K.-M.Kallman 
#   Institute             : (2SF ABA): Abo Akademi, Turku 
#   Reference             : (J,EPJ/A,16,159,2003) 
#   Year                  : 2003 
#   Facility              : (ISOCY): Isochronous cyclotron 
# Target: 
#   Z                     : 14 
#   A                     : 28 
#   Isomer                :  
#   Nuclide               : 14-SI-28 
# Reaction: 
#   EXFOR Reaction        : (14-SI-28(A,TOT),,WID) 
#   Incident Energy       : 6.8340e+06 eV - 1.8906e+07 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F06/F0608.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0608
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   6.8340E+06          NAN        NAN        NAN   2.9000E+04   5.0000E+03          NAN          NAN   1.6000E+04   1.0000E+04          NAN          NAN          NAN          NAN
   7.0120E+06          NAN        NAN        NAN   2.6000E+04   7.0000E+03          NAN          NAN   6.0000E+03   4.0000E+03          NAN          NAN          NAN          NAN
   7.2200E+06          NAN        NAN        NAN   4.9000E+04   3.0000E+03          NAN          NAN   1.7900E+04   1.2000E+03          NAN          NAN          NAN          NAN
   7.3370E+06          NAN        NAN        NAN   2.8800E+04   1.3000E+03          NAN          NAN   1.2800E+04   8.0000E+02          NAN          NAN          NAN          NAN
   7.4740E+06          NAN        NAN        NAN   5.4000E+04   5.0000E+03          NAN          NAN   2.8000E+04   3.0000E+03          NAN          NAN          NAN          NAN
   7.5860E+06          NAN        NAN        NAN   1.8000E+04   4.0000E+03          NAN          NAN   8.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN
   7.6630E+06          NAN        NAN        NAN   7.4000E+04   2.0000E+03          NAN          NAN   5.0000E+04   2.0000E+03          NAN          NAN          NAN          NAN
   7.7100E+06          NAN        NAN        NAN   2.3600E+04   9.0000E+02          NAN          NAN   1.2300E+04   6.0000E+02          NAN          NAN          NAN          NAN
   7.8360E+06          NAN        NAN        NAN   4.7400E+04   8.0000E+02          NAN          NAN   2.7900E+04   1.0000E+03          NAN          NAN          NAN          NAN
   7.9080E+06          NAN        NAN        NAN   2.2000E+04   1.1000E+03          NAN          NAN   1.1000E+04   6.0000E+02          NAN          NAN          NAN          NAN
