# Header: 
#   title: 56-BA-132(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 56 
#   A: 132 
#   Nuclide: 56-BA-132 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 7.95000E-01  |   6.36396E-02   (N = 2)
#   Maxwellian Average Weighted Mean +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#   AV Simple Mean            |  Simple Stdev        : 7.50000E-01  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 4.06400E+00  |   3.46414E+00   (N = 3)
#   MXW Weighted Mean        +/- Weighted Error      : 6.39718E-01 +/-  2.88763E-02   (N = 3)
#   SPA Simple Mean           |  Simple Stdev        : 4.21667E+00  |   3.53070E+00   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23488-058-0         F.De Corte              1988   2.5300E-08   0.0000E+00   8.4000E-01   0.0000E+00                
23266-115-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   7.5000E-01   0.0000E+00                
23266-114-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   7.5000E-01   1.0000E-02      AV        
31246-008-0         H.S.Hans                1960   2.5300E-08   0.0000E+00   4.1000E+00   1.5000E+00     MXW        
14340-004-0         A.Y.Dauenhauer          2012   2.5300E-08   0.0000E+00   5.8200E-01   2.9000E-02     MXW        
14340-005-0         A.Y.Dauenhauer          2012   2.5300E-08   0.0000E+00   7.5100E+00   3.2000E-01     MXW        
12037-002-0         S.Katcoff               1947   2.5300E-08   0.0000E+00   6.0000E+00   0.0000E+00     SPA        
12019-003-0         W.S.Lyon                1963   2.5300E-08   0.0000E+00   6.5000E+00   0.0000E+00     SPA        
31249-004-0         S.K.Mangal              1963   2.5300E-08   0.0000E+00   1.5000E-01   0.0000E+00     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1002-089-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   6.5000E+00   8.0000E-01           RECOM
V1002-089-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   5.0000E-01   0.0000E+00           RECOM
