# Header: 
#   title: 70-YB-168(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-03-21 
# Target: 
#   Z: 70 
#   A: 168 
#   Nuclide: 70-YB-168 
# Reaction: 
#   Type: N,G 
#   Incident energy       : 2.5000e-02 MeV - 3.0000e-02 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 4.89700E+01  |           NAN   (N = 1)
#   Maxwellian Average Weighted Mean +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   SPA Simple Mean           |  Simple Stdev        : 1.27918E+00  |   7.59588E-02  (N = 50)
#   SPA Weighted Mean        +/- Weighted Error      : 1.27208E+00 +/-  8.74197E-03  (N = 50)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2860E+00   6.2000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.1970E+00   5.8000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.4060E+00   6.7000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3390E+00   6.4000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3630E+00   6.5000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2650E+00   6.0000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2910E+00   6.2000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2220E+00   5.9000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.4490E+00   6.8000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3380E+00   6.4000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.4490E+00   6.8000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3530E+00   6.5000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3410E+00   6.4000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3330E+00   6.5000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.4150E+00   6.7000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3430E+00   6.4000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.3820E+00   6.6000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2890E+00   6.1000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2620E+00   6.1000E-02     SPA        
23094-032-0         J.Marganiec             2010   2.5000E-02   5.0000E-03   1.2420E+00   6.0000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc       dEn_inc      Data         dData         sf8    sf9
23094-002-0         J.Marganiec             2010   3.0000E-02   0.0000E+00   1.2140E+00   6.1000E-02     MXW   DERIV
23094-020-0         J.Marganiec             2010   3.0000E-02   0.0000E+00   1.2900E+00   6.3000E-02     MXW   DERIV
V0102-382-0         Z.Y.Bao                 2000   3.0000E-02   0.0000E+00   1.1600E+00   4.4000E-01     MXW   RECOM
V0102-383-0         Z.Y.Bao                 2000   3.0000E-02   0.0000E+00   1.2140E+00   4.9000E-02     MXW   RECOM
