# Header: 
#   title: 77-IR-193(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 77 
#   A: 193 
#   Nuclide: 77-IR-193 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 7.03340E+01  |   6.16457E+01   (N = 3)
#   Maxwellian Average Weighted Mean +/- Weighted Error      :         NAN +/-          NAN   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 1.31667E+02  |   3.66379E+01   (N = 3)
#   MXW Weighted Mean        +/- Weighted Error      : 1.03415E+02 +/-  9.15703E+00   (N = 3)
#   SPA Simple Mean           |  Simple Stdev        : 1.28600E+02  |   1.33078E+02   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      : 4.41168E+01 +/-  1.64153E+00   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23488-090-0         F.De Corte              1988   2.5300E-08   0.0000E+00   1.1500E+02   1.4950E+01                
41599-004-0         S.A.Karamian            2014   2.5300E-08   0.0000E+00   9.6000E+01   0.0000E+00                
41599-006-0         S.A.Karamian            2014   2.5300E-08   0.0000E+00   2.0000E-03   0.0000E+00                
11447-122-0         L.Seren                 1947   2.5300E-08   0.0000E+00   1.2800E+02   2.5600E+01     MXW        
11748-024-0         B.Keisch                1963   2.5300E-08   0.0000E+00   9.7000E+01   1.0000E+01     MXW        
11817-022-0         H.Arino                 1964   2.5300E-08   0.0000E+00   1.7000E+02   5.0000E+01     MXW        
31820-002-0         C.Heiser                1968   2.5300E-08   0.0000E+00   5.8000E+00   2.0000E+00     SPA        
23383-007-0         J.P.Rambaek             1977   2.5300E-08   0.0000E+00   2.7000E+02   1.0000E+01     SPA        
12866-190-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.1000E+02   3.0000E+00     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
41124-008-0         S.M.Masyanov            1992   2.5300E-08   0.0000E+00   8.5000E+01   5.0000E+00           DERIV
V1002-465-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.1100E+02   5.0000E+00           RECOM
V1002-465-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   5.8000E+00   2.0000E+00           RECOM
