# Header: 
#   title: 73-TA-181(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 73 
#   A: 181 
#   Nuclide: 73-TA-181 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 3.0254e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 2.01740E+01  |   2.89945E-01  (N = 21)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 2.02447E+01 +/-  8.89856E-02  (N = 21)
#   MXW Simple Mean           |  Simple Stdev        : 1.68652E+01  |   1.19832E+01  (N = 10)
#   MXW Weighted Mean        +/- Weighted Error      : 2.12957E-02 +/-  2.74443E-03  (N = 10)
#   SPA Simple Mean           |  Simple Stdev        : 2.05030E+01  |   2.12302E+01   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      : 9.21346E-03 +/-  2.29999E-03   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23488-083-0         F.De Corte              1988   2.5300E-08   0.0000E+00   2.0400E+01   2.2440E-01                
23260-137-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   1.0000E-01                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   1.9900E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0100E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0400E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0000E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0100E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0300E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23260-138-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   2.0200E+01   0.0000E+00                
23742-002-0         S.Nakamura              2021   2.5300E-08   0.0000E+00   2.0500E+01   4.0000E-01                
23614-008-0         S.Endo                  2024   3.0254E-08   0.0000E+00   1.9053E+01   2.3660E+00                
11447-112-0         L.Seren                 1947   2.5300E-08   0.0000E+00   3.4000E-02   6.8000E-03     MXW        
11447-113-0         L.Seren                 1947   2.5300E-08   0.0000E+00   2.0600E+01   4.1200E+00     MXW        
11625-029-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   2.8000E+01   2.8000E+00     MXW        
20651-006-0         G.Wolf                  1960   2.5300E-08   0.0000E+00   2.1000E+01   7.0000E-01     MXW        
11817-015-0         H.Arino                 1964   2.5300E-08   0.0000E+00   6.4000E-03   0.0000E+00     MXW        
11817-016-0         H.Arino                 1964   2.5300E-08   0.0000E+00   2.7000E+01   0.0000E+00     MXW        
30289-004-0         V.Markovic              1971   2.5300E-08   0.0000E+00   2.4700E+01   2.0000E-01     MXW        
20625-028-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   1.2000E-02   3.0000E-03     MXW        
20625-029-0         E.M.Gryntakis           1976   2.5300E-08   0.0000E+00   2.7500E+01   1.3800E+00     MXW        
20853-013-0         M.Takiue                1978   2.5300E-08   0.0000E+00   1.9800E+01   5.0000E-01     MXW        
11625-028-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   4.2400E+01   4.2400E+00     SPA        
12172-002-2         A.Sunyar                1961   2.5300E-08   0.0000E+00   9.1000E-03   2.3000E-03     SPA        
12866-180-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.9100E+01   1.0000E+00     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
10501-010-0         S.S.Malik               1970   2.5300E-08   0.0000E+00   2.1200E+01   1.0000E+00           DERIV
23614-009-0         S.Endo                  2024   2.5300E-08   0.0000E+00   2.1300E+01   7.0000E-01           DERIV
V1002-390-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0500E+01   5.0000E-01           RECOM
V1002-390-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.3000E-02   2.0000E-03           RECOM
V1002-390-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0500E+01   5.0000E-01           RECOM
