# Header: 
#   title: 34-SE-78(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 34 
#   A: 78 
#   Nuclide: 34-SE-78 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 3.06200E-01  |   1.20632E-01   (N = 5)
#   MXW Weighted Mean        +/- Weighted Error      : 2.77541E-01 +/-  1.66026E-02   (N = 5)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
11507-042-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   4.0000E-01   4.0000E-01     MXW        
31246-003-0         H.S.Hans                1960   2.5300E-08   0.0000E+00   1.2000E-01   4.0000E-02     MXW        
21342-003-0         H.Weigmann              1962   2.5300E-08   0.0000E+00   4.0000E-01   4.0000E-02     MXW        
11832-003-0         H.H.Kramer              1965   2.5300E-08   0.0000E+00   3.6000E-01   3.6000E-02     MXW        
22521-009-0         W.Mannhart              1968   2.5300E-08   0.0000E+00   2.5100E-01   2.5000E-02     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1001-293-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.8000E-01   2.0000E-02           RECOM
V1001-293-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   5.0000E-02   1.0000E-02           RECOM
V1001-293-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   4.3000E-01   2.0000E-02           RECOM
