# Header: 
#   title: 16-S-34(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2026-04-15 
# Target: 
#   Z: 16 
#   A: 34 
#   Nuclide: 16-S-34 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-02 MeV - 3.0000e-02 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 1.55333E-04  |   1.52753E-06   (N = 4)
#   MXW Weighted Mean        +/- Weighted Error      : 1.55118E-04 +/-  5.25486E-06   (N = 4)
#   MXW/AV Simple Mean        |  Simple Stdev        : 1.54000E-04  |           NAN   (N = 4)
#   MXW/AV Weighted Mean     +/- Weighted Error      :         NAN +/-          NAN   (N = 4)
#   SPA Simple Mean           |  Simple Stdev        : 1.86333E-04  |   1.52753E-06   (N = 4)
#   SPA Weighted Mean        +/- Weighted Error      : 1.86202E-04 +/-  7.21462E-06   (N = 4)
#   SPA/AV Simple Mean        |  Simple Stdev        : 1.85000E-04  |           NAN   (N = 4)
#   SPA/AV Weighted Mean     +/- Weighted Error      :         NAN +/-          NAN   (N = 4)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
22424-002-1         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.5700E-04   9.0000E-06     MXW        
22424-002-1         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.5500E-04   1.7000E-05     MXW        
22424-002-1         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.5400E-04   7.0000E-06     MXW        
22424-002-1         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00     MXW        
22424-002-2         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00  MXW/AV        
22424-002-2         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00  MXW/AV        
22424-002-2         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00  MXW/AV        
22424-002-2         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.5400E-04   6.0000E-06  MXW/AV        
22424-009-1         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.8800E-04   1.2000E-05     SPA        
22424-009-1         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.8600E-04   2.1000E-05     SPA        
22424-009-1         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.8500E-04   1.0000E-05     SPA        
22424-009-1         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00     SPA        
22424-009-2         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00  SPA/AV        
22424-009-2         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00  SPA/AV        
22424-009-2         R.Reifarth              2000   2.5000E-02   0.0000E+00          NAN   0.0000E+00  SPA/AV        
22424-009-2         R.Reifarth              2000   2.5000E-02   0.0000E+00   1.8500E-04   9.0000E-06  SPA/AV        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V0102-036-0         Z.Y.Bao                 2000   3.0000E-02   0.0000E+00   2.2600E-04   1.0000E-05     MXW   RECOM
