# Header: 
#   title: 59-PR-141(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 59 
#   A: 141 
#   Nuclide: 59-PR-141 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 3.3560e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 1.09723E+01  |   5.15990E-01   (N = 7)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 1.08921E+01 +/-  5.65806E-01   (N = 7)
#   AV Simple Mean            |  Simple Stdev        : 1.13000E+01  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 9.16000E+00  |   3.19421E+00   (N = 5)
#   MXW Weighted Mean        +/- Weighted Error      : 1.05256E+01 +/-  1.74017E-01   (N = 5)
#   SPA Simple Mean           |  Simple Stdev        : 9.63000E+00  |   1.79605E+00   (N = 2)
#   SPA Weighted Mean        +/- Weighted Error      : 8.38120E+00 +/-  9.95818E-02   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23488-063-0         F.De Corte              1988   2.5300E-08   0.0000E+00   1.1200E+01   1.5680E+00                
22865-002-0         K.Kobayashi             2002   3.3560E-08   0.0000E+00   1.0270E+01   1.1510E+00                
22865-003-0         K.Kobayashi             2002   2.5300E-08   0.0000E+00   1.1600E+01   1.3000E+00                
31574-002-0         J.Yoon                  2006   3.3560E-08   0.0000E+00   1.0646E+01   0.0000E+00                
23266-131-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   1.1300E+01   0.0000E+00                
33097-004-0         P.Panikkath             2016   2.5300E-08   0.0000E+00   1.1360E+01   1.2900E+00                
33097-005-0         P.Panikkath             2016   2.5300E-08   0.0000E+00   1.0430E+01   1.1400E+00                
23266-130-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   1.1300E+01   1.0000E-01      AV        
11447-095-0         L.Seren                 1947   2.5300E-08   0.0000E+00   1.0100E+01   2.0200E+00     MXW        
11047-046-0         H.Pomerance             1951   2.5300E-08   0.0000E+00   1.1200E+01   6.0000E-01     MXW        
21469-010-0         J.D.Cummins             1957   2.5300E-08   0.0000E+00   1.1600E+01   2.0000E-01     MXW        
12023-004-0         E.Fehr                  1960   2.5300E-08   0.0000E+00   9.2000E+00   1.0000E+00     MXW        
21261-002-0         J.Kern                  1967   2.5300E-08   0.0000E+00   3.7000E+00   5.0000E-01     MXW        
11625-026-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   1.0900E+01   1.0900E+00     SPA        
12866-134-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   8.3600E+00   1.0000E-01     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
30224-004-0         R.L.Zimmerman           1967   2.5300E-08   0.0000E+00   1.1500E+01   1.0000E+00           DERIV
22450-024-1         K.Knopf                 1997   2.5300E-08   0.0000E+00          NAN   0.0000E+00           DERIV
22450-024-2         K.Knopf                 1997   2.5300E-08   0.0000E+00   1.2700E+01   6.0000E-01           DERIV
V1002-139-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.9000E+00   3.0000E-01           RECOM
V1002-139-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.1500E+01   3.0000E-01           RECOM
