# Header: 
#   title: 52-TE-120(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 52 
#   A: 120 
#   Nuclide: 52-TE-120 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 1.06280E+01  |   2.53131E+01   (N = 7)
#   MXW Weighted Mean        +/- Weighted Error      : 1.23901E-01 +/-  1.15802E-02   (N = 7)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
11507-060-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   6.8000E+01   6.8000E+01     MXW        
11989-002-0         L.Esch                  1961   2.5300E-08   0.0000E+00   2.4000E+00   1.0000E+00     MXW        
11989-003-0         L.Esch                  1961   2.5300E-08   0.0000E+00   1.0000E+00   0.0000E+00     MXW        
11994-002-0         M.Sehgal                1962   2.5300E-08   0.0000E+00   3.4000E-01   6.0000E-02     MXW        
11994-003-0         M.Sehgal                1962   2.5300E-08   0.0000E+00   2.0000E+00   3.0000E-01     MXW        
14165-002-0         M.C.Eastman             2008   2.5300E-08   0.0000E+00   5.5800E-01   6.7000E-02     MXW        
14165-003-0         M.C.Eastman             2008   2.5300E-08   0.0000E+00   9.8000E-02   1.2000E-02     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1002-010-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.4000E-01   6.0000E-02           RECOM
V1002-010-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.0000E+00   3.0000E-01           RECOM
