# Header: 
#   title: 47-AG-107(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 47 
#   A: 107 
#   Nuclide: 47-AG-107 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 2.64554E+01  |   1.61484E+01   (N = 8)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 4.86877E-01 +/-  2.94115E-02   (N = 8)
#   AV Simple Mean            |  Simple Stdev        : 3.43000E+01  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 2.49575E+01  |   1.83048E+01   (N = 4)
#   MXW Weighted Mean        +/- Weighted Error      : 3.08783E+01 +/-  2.30932E+00   (N = 4)
#   SPA Simple Mean           |  Simple Stdev        : 3.53000E+01  |           NAN   (N = 1)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   SPA/A Simple Mean         |  Simple Stdev        : 5.00000E-02  |           NAN   (N = 1)
#   SPA/A Weighted Mean      +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
20791-011-0         T.B.Ryves               1971   2.5300E-08   0.0000E+00   3.7200E+01   0.0000E+00                
20561-006-0         T.B.Ryves               1974   2.5300E-08   0.0000E+00   3.7600E+01   1.2000E+00                
21625-002-0         T.B.Ryves               1979   2.5300E-08   0.0000E+00   3.6600E-01   6.5000E-02                
13129-002-0         M.Gavrilas              1987   2.5300E-08   0.0000E+00   4.7700E-01   3.3000E-02                
23488-044-0         F.De Corte              1988   2.5300E-08   0.0000E+00   3.3100E+01   1.6550E+00                
23266-107-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   3.3500E+01   0.0000E+00                
23266-107-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   3.5200E+01   0.0000E+00                
23266-107-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   3.4200E+01   0.0000E+00                
23266-106-0         F.Farina Arbocco        2013   2.5300E-08   0.0000E+00   3.4300E+01   9.0000E-01      AV        
11945-003-0         G.A.Linenberger         1946   2.5300E-08   0.0000E+00   2.5300E+01   0.0000E+00     MXW        
11447-066-0         L.Seren                 1947   2.5300E-08   0.0000E+00   4.4300E+01   8.8600E+00     MXW        
11507-056-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   2.9900E+01   2.3920E+00     MXW        
12959-002-0         D.V.Rao                 1978   2.5300E-08   0.0000E+00   3.3000E-01   0.0000E+00     MXW        
12866-090-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   3.5300E+01   1.0000E+00     SPA        
11447-072-0         L.Seren                 1947   2.5300E-08   0.0000E+00   5.0000E-02   1.0000E-02   SPA/A        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23533-009-0         L.Salamon               2020   2.5300E-08   0.0000E+00   3.7510E+01   0.0000E+00           DERIV
V1001-466-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.3000E-01   8.0000E-02           RECOM
V1001-466-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.7600E+01   1.2000E+00           RECOM
