# Header: 
#   title: 77-IR-191(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 77 
#   A: 191 
#   Nuclide: 77-IR-191 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.9879e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 7.22052E+02  |   2.43318E+02   (N = 2)
#   Maxwellian Average Weighted Mean +/- Weighted Error      :         NAN +/-          NAN   (N = 2)
#   MXW Simple Mean           |  Simple Stdev        : 6.84286E+02  |   4.15606E+02   (N = 7)
#   MXW Weighted Mean        +/- Weighted Error      : 7.04245E+02 +/-  1.68611E+01   (N = 7)
#   SPA Simple Mean           |  Simple Stdev        : 7.15587E+02  |   5.81512E+02   (N = 6)
#   SPA Weighted Mean        +/- Weighted Error      : 1.85404E-01 +/-  5.99985E-02   (N = 6)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
41599-002-0         S.A.Karamian            2014   2.5300E-08   0.0000E+00   5.5000E+02   0.0000E+00                
23616-002-0         M.K.A.Patwary           2024   2.9879E-08   0.0000E+00   8.9410E+02   4.7055E+01                
11447-120-0         L.Seren                 1947   2.5300E-08   0.0000E+00   2.6000E+02   1.0400E+02     MXW        
11447-121-0         L.Seren                 1947   2.5300E-08   0.0000E+00   1.0000E+03   2.0000E+02     MXW        
11748-022-0         B.Keisch                1963   2.5300E-08   0.0000E+00   6.1000E+02   6.0000E+01     MXW        
11748-023-0         B.Keisch                1963   2.5300E-08   0.0000E+00   3.0000E+02   3.0000E+01     MXW        
11817-020-0         H.Arino                 1964   2.5300E-08   0.0000E+00   3.0000E+02   5.0000E+01     MXW        
11817-021-0         H.Arino                 1964   2.5300E-08   0.0000E+00   1.2000E+03   3.0000E+02     MXW        
11658-019-0         G.H.E.Sims              1968   2.5300E-08   0.0000E+00   1.1200E+03   2.5000E+01     MXW        
12166-002-0         G.Harbottle             1963   2.5300E-08   0.0000E+00   3.8000E-01   0.0000E+00     SPA        
11658-020-0         G.H.E.Sims              1968   2.5300E-08   0.0000E+00   1.1660E+03   2.6000E+01     SPA        
23383-006-0         J.P.Rambaek             1977   2.5300E-08   0.0000E+00   1.3500E+03   6.0000E+01     SPA        
12866-188-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   9.2200E+02   1.3000E+01     SPA        
31638-003-0         Huang Xiao-Long         2000   2.5300E-08   0.0000E+00   8.5500E+02   1.3000E+01     SPA        
31638-004-0         Huang Xiao-Long         2000   2.5300E-08   0.0000E+00   1.4000E-01   6.0000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
41124-004-0         S.M.Masyanov            1992   2.5300E-08   0.0000E+00   2.7900E+02   3.0000E+00           DERIV
23616-003-0         M.K.A.Patwary           2024   2.5300E-08   0.0000E+00   9.4900E+02   8.0000E+01           DERIV
V1002-459-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   9.5400E+02   1.0000E+01           RECOM
V1002-459-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.1000E-02   1.4000E-02           RECOM
V1002-459-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   6.4500E+02   3.2000E+01           RECOM
V1002-459-4         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.0900E+02   3.0000E+01           RECOM
