# Header: 
#   title: 54-XE-132(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 54 
#   A: 132 
#   Nuclide: 54-XE-132 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 1.79250E-01  |   1.89373E-01   (N = 4)
#   MXW Weighted Mean        +/- Weighted Error      : 2.55338E-02 +/-  2.00520E-03   (N = 4)
#   SPA Simple Mean           |  Simple Stdev        : 2.90000E-01  |   3.39411E-01   (N = 2)
#   SPA Weighted Mean        +/- Weighted Error      : 6.84615E-02 +/-  1.96116E-02   (N = 2)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
11849-011-0         T.Eastwood              1963   2.5300E-08   0.0000E+00   2.2000E-02   2.2000E-03     MXW        
11849-012-0         T.Eastwood              1963   2.5300E-08   0.0000E+00   2.5000E-01   2.5000E-02     MXW        
11883-013-0         E.Kondaiah              1968   2.5300E-08   0.0000E+00   4.1500E-01   4.5000E-02     MXW        
11883-014-0         E.Kondaiah              1968   2.5300E-08   0.0000E+00   3.0000E-02   5.0000E-03     MXW        
11927-009-0         R.S.Tilbury             1968   2.5300E-08   0.0000E+00   5.0000E-02   2.0000E-02     SPA        
11927-010-0         R.S.Tilbury             1968   2.5300E-08   0.0000E+00   5.3000E-01   1.0000E-01     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1002-062-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   4.5000E-01   6.0000E-02           RECOM
V1002-062-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   5.0000E-02   1.0000E-02           RECOM
