# Header: 
#   title: 80-HG-196(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 80 
#   A: 196 
#   Nuclide: 80-HG-196 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 1.09990E+03  |   1.72521E+03   (N = 3)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 1.17134E+02 +/-  1.25784E+01   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 6.50000E+02  |   3.25269E+02   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 4.99514E+02 +/-  7.27580E+01   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 1.44305E+03  |   1.47233E+03   (N = 6)
#   SPA Weighted Mean        +/- Weighted Error      : 1.12524E+02 +/-  1.48174E+00   (N = 6)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
20254-002-0         J.I.Kim                 1967   2.5300E-08   0.0000E+00   3.0920E+03   2.1100E+02                
20254-003-0         J.I.Kim                 1967   2.5300E-08   0.0000E+00   1.0670E+02   1.2800E+01                
23488-092-0         F.De Corte              1988   2.5300E-08   0.0000E+00   1.0100E+02   7.1710E+01                
31244-011-0         M.Sehgal                1959   2.5300E-08   0.0000E+00   4.2000E+02   8.0000E+01     MXW        
31244-012-0         M.Sehgal                1959   2.5300E-08   0.0000E+00   8.8000E+02   1.7500E+02     MXW        
31249-011-0         S.K.Mangal              1963   2.5300E-08   0.0000E+00   1.3000E+02   1.5600E+01     SPA        
31249-012-0         S.K.Mangal              1963   2.5300E-08   0.0000E+00   2.9360E+03   4.4040E+02     SPA        
11927-012-0         R.S.Tilbury             1968   2.5300E-08   0.0000E+00   1.2500E+02   1.3000E+01     SPA        
11927-013-0         R.S.Tilbury             1968   2.5300E-08   0.0000E+00   3.0700E+03   2.9000E+02     SPA        
12866-200-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.0730E+02   1.5000E+00     SPA        
12866-202-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   2.2900E+03   3.2000E+01     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1002-493-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.0800E+03   1.8000E+02           RECOM
V1002-493-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.0730E+02   1.5000E+00           RECOM
