# Header: 
#   title: 36-KR-84(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 36 
#   A: 84 
#   Nuclide: 36-KR-84 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 8.75000E-02  |   3.53553E-03   (N = 2)
#   MXW Weighted Mean        +/- Weighted Error      : 8.58780E-02 +/-  5.44776E-03   (N = 2)
#   SPA Simple Mean           |  Simple Stdev        : 3.96000E-01  |   5.67024E-01   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
11883-006-0         E.Kondaiah              1968   2.5300E-08   0.0000E+00   9.0000E-02   1.3000E-02     MXW        
21896-003-0         R.D.Penzhorn            1983   2.5000E-08   0.0000E+00   8.5000E-02   6.0000E-03     MXW        
11858-013-0         J.Macnamara             1950   2.5300E-08   0.0000E+00   1.0500E+00   0.0000E+00     SPA        
11887-003-0         E.Hoagland              1951   2.5300E-08   0.0000E+00   9.6000E-02   0.0000E+00     SPA        
11849-003-0         T.Eastwood              1963   2.5300E-08   0.0000E+00   4.2000E-02   4.2000E-03     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1001-324-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   9.0000E-02   1.3000E-02           RECOM
V1001-324-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   4.2000E-02   4.0000E-03           RECOM
V1001-324-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.1000E-01   1.5000E-02           RECOM
