# Header: 
#   title: 50-SN-112(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 50 
#   A: 112 
#   Nuclide: 50-SN-112 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 3.46333E-01  |   1.89637E-01   (N = 3)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 3.18135E-01 +/-  1.74530E-02   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 5.30000E-01  |   1.15326E-01   (N = 3)
#   MXW Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 3)
#   SPA Simple Mean           |  Simple Stdev        : 8.29333E-01  |   3.37998E-01   (N = 6)
#   SPA Weighted Mean        +/- Weighted Error      : 5.77647E-01 +/-  1.18052E-02   (N = 6)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
14107-002-0         K.S.Krane               2006   2.5300E-08   0.0000E+00   5.1300E-01   3.0000E-02                
14107-003-0         K.S.Krane               2006   2.5300E-08   0.0000E+00   3.8600E-01   3.8000E-02                
14107-004-0         K.S.Krane               2006   2.5300E-08   0.0000E+00   1.4000E-01   2.6000E-02                
12608-002-0         W.Lyon                  1967   2.5300E-08   0.0000E+00   6.5000E-01   0.0000E+00     MXW        
20731-002-0         W.Maenhaut              1973   2.5300E-08   0.0000E+00   5.2000E-01   0.0000E+00     MXW        
31477-002-0         M.Ricabarra             1973   2.5300E-08   0.0000E+00   4.2000E-01   8.0000E-02     MXW        
11447-076-0         L.Seren                 1947   2.5300E-08   0.0000E+00   1.1000E+00   4.4000E-01     SPA        
11961-002-0         C.Nelson                1950   2.5300E-08   0.0000E+00   1.3000E+00   2.6000E-01     SPA        
11972-002-0         M.Schmorak              1961   2.5300E-08   0.0000E+00   9.0000E-01   3.0000E-01     SPA        
11972-003-0         M.Schmorak              1961   2.5300E-08   0.0000E+00   3.9000E-01   1.0000E-01     SPA        
11927-004-0         R.S.Tilbury             1968   2.5300E-08   0.0000E+00   7.1000E-01   1.0000E-01     SPA        
12866-100-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   5.7600E-01   1.2000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1001-508-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.9000E-01   3.0000E-02           RECOM
V1001-508-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   5.6000E-01   2.0000E-02           RECOM
V1001-508-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   8.5000E-01   4.0000E-02           RECOM
