# Header: 
#   title: 32-GE-74(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 32 
#   A: 74 
#   Nuclide: 32-GE-74 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 2.53022E-01  |   1.78265E-01  (N = 18)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 1.34276E-01 +/-  2.19507E-03  (N = 18)
#   AV Simple Mean            |  Simple Stdev        : 3.30833E-01  |   1.85623E-01   (N = 3)
#   AV Weighted Mean         +/- Weighted Error      : 1.37414E-01 +/-  5.53492E-03   (N = 3)
#   MXW Simple Mean           |  Simple Stdev        : 3.00875E-01  |   2.09127E-01   (N = 8)
#   MXW Weighted Mean        +/- Weighted Error      : 1.09262E-01 +/-  6.47346E-03   (N = 8)
#   SPA Simple Mean           |  Simple Stdev        : 4.50000E-01  |   8.88819E-02   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      : 4.32002E-01 +/-  1.82461E-02   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3280E-01   7.3000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3220E-01   9.7000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.2980E-01   8.2000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.2940E-01   7.2000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3200E-01   7.7000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3100E-01   7.6000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3420E-01   7.8000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3200E-01   7.7000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.2510E-01   6.9000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3020E-01   7.5000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3000E-01   7.5000E-03                
23107-002-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.2870E-01   7.5000E-03                
23107-003-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   5.0700E-01   5.2000E-02                
23107-003-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   5.1600E-01   5.7000E-02                
23107-003-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   4.9400E-01   5.1000E-02                
23107-003-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   4.9200E-01   5.1000E-02                
23107-003-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   4.9800E-01   5.6000E-02                
23107-003-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   4.8000E-01   5.0000E-02                
23107-005-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   1.3050E-01   5.6000E-03      AV        
23107-006-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   4.9700E-01   5.2000E-02      AV        
23107-007-0         G.Meierhofer            2010   2.5300E-08   0.0000E+00   3.6500E-01   5.1000E-02      AV        
11507-037-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   6.0000E-01   6.0000E-02     MXW        
11426-007-0         W.A.Brooksbank          1955   2.5300E-08   0.0000E+00   5.3000E-01   1.0000E-01     MXW        
11823-002-0         E.Der Mateosian         1957   2.5300E-08   0.0000E+00   6.4000E-02   8.0000E-03     MXW        
11823-003-0         E.Der Mateosian         1957   2.5300E-08   0.0000E+00   1.8000E-01   4.0000E-02     MXW        
21342-004-0         H.Weigmann              1962   2.5300E-08   0.0000E+00   2.0000E-01   2.0000E-02     MXW        
31753-002-0         K.F.Alexander           1964   2.5300E-08   0.0000E+00   5.1000E-01   7.0000E-02     MXW        
31753-003-0         K.F.Alexander           1964   2.5300E-08   0.0000E+00   1.8000E-01   4.0000E-02     MXW        
22521-006-0         W.Mannhart              1968   2.5300E-08   0.0000E+00   1.4300E-01   1.6000E-02     MXW        
11447-037-0         L.Seren                 1947   2.5300E-08   0.0000E+00   3.8000E-01   7.6000E-02     SPA        
11625-010-0         W.S.Lyon                1960   2.5300E-08   0.0000E+00   5.5000E-01   5.5000E-02     SPA        
12866-040-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   4.2000E-01   2.0000E-02     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
22046-017-0         L.Koester               1987   2.5300E-08   0.0000E+00   4.0000E-01   2.0000E-01           DERIV
V1001-274-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   3.6000E-01   4.0000E-02           RECOM
V1001-274-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.6400E-01   1.0000E-02           RECOM
V1001-274-3         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   5.2000E-01   4.0000E-02           RECOM
