# Header: 
#   title: 54-XE-124(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 54 
#   A: 124 
#   Nuclide: 54-XE-124 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5300e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 9.36667E+01  |   4.13996E+01   (N = 6)
#   MXW Weighted Mean        +/- Weighted Error      : 3.69838E+01 +/-  2.30727E+00   (N = 6)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
12013-002-0         J.M.Tobin               1958   2.5300E-08   0.0000E+00   7.4400E+01   0.0000E+00     MXW        
12046-003-0         P.V.Harper              1961   2.5300E-08   0.0000E+00   1.1500E+02   0.0000E+00     MXW        
11849-005-0         T.Eastwood              1963   2.5300E-08   0.0000E+00   9.4000E+01   9.4000E+00     MXW        
20628-002-0         M.Bresesti              1964   2.5300E-08   0.0000E+00   1.1100E+02   1.1000E+01     MXW        
11883-007-0         E.Kondaiah              1968   2.5300E-08   0.0000E+00   2.3600E+01   2.5000E+00     MXW        
11883-008-0         E.Kondaiah              1968   2.5300E-08   0.0000E+00   1.4400E+02   1.1000E+01     MXW        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1002-042-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.5000E+02   2.0000E+01           RECOM
V1002-042-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   2.8000E+01   5.0000E+00           RECOM
