# Header: 
#   title: 47-AG-109(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 47 
#   A: 109 
#   Nuclide: 47-AG-109 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 1.13190E+01  |   2.46967E+01  (N = 24)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 3.98306E+00 +/-  1.47176E-02  (N = 24)
#   MXW Simple Mean           |  Simple Stdev        : 3.19055E+01  |   3.99349E+01  (N = 11)
#   MXW Weighted Mean        +/- Weighted Error      : 4.21816E+00 +/-  7.60340E-02  (N = 11)
#   SPA Simple Mean           |  Simple Stdev        : 2.28400E+01  |   4.44348E+01   (N = 6)
#   SPA Weighted Mean        +/- Weighted Error      : 4.13070E+00 +/-  7.71713E-02   (N = 6)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
23260-094-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   3.9700E+00   0.0000E+00                
23260-094-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   3.9700E+00   0.0000E+00                
23260-094-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   3.9900E+00   0.0000E+00                
23617-006-0         S.Nakamura              2024   2.5300E-08   0.0000E+00   4.0500E+00   5.0000E-02                
11945-005-0         G.A.Linenberger         1946   2.5300E-08   0.0000E+00   5.1300E+01   0.0000E+00     MXW        
11447-067-0         L.Seren                 1947   2.5300E-08   0.0000E+00   9.7000E+01   1.9400E+01     MXW        
11507-057-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   8.4000E+01   6.7200E+00     MXW        
20041-005-0         B.Grimeland             1956   2.5300E-08   0.0000E+00   4.1000E+00   1.0000E+00     MXW        
11748-011-0         B.Keisch                1963   2.5300E-08   0.0000E+00   8.9000E+01   4.0000E+00     MXW        
11658-007-0         G.H.E.Sims              1968   2.5300E-08   0.0000E+00   4.9800E+00   4.7000E-01     MXW        
11753-002-0         S.A.Reynolds            1970   2.5300E-08   0.0000E+00   4.1000E+00   0.0000E+00     MXW        
20231-002-0         J.Olsen                 1972   2.5300E-08   0.0000E+00   4.5000E+00   3.0000E-01     MXW        
20231-003-0         J.Olsen                 1972   2.5300E-08   0.0000E+00   3.1300E+00   0.0000E+00     MXW        
12959-003-0         D.V.Rao                 1978   2.5300E-08   0.0000E+00   4.7200E+00   0.0000E+00     MXW        
