# Header: 
#   Title                 : 8-O-16 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : T0236-010-2 
#   First Author          : J.H.Billen 
#   Institute             : (1USAWIS): University of Wisconsin, Madison, WI 
#   Reference             : (J,PR/C,20,1648,1979) 
#   Year                  : 1979 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Isomer                :  
#   Nuclide               : 8-O-16 
# Reaction: 
#   EXFOR Reaction        : (8-O-16(A,TOT),,WID) 
#   Incident Energy Type   : 1.4721e+07 eV - 1.9953e+07 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0236.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0236
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.4721E+07          NAN        6.0        NAN   2.5000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4815E+07          NAN        7.0        NAN   8.6000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4886E+07          NAN        3.0        NAN   5.1000E+04   1.4000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4928E+07          NAN        4.0        NAN   7.9000E+04   1.1000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4980E+07          NAN        5.0        NAN   1.4000E+04   7.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5150E+07          NAN        5.0        NAN   1.6000E+04   5.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5532E+07          NAN        5.0        NAN   3.3000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5601E+07          NAN        4.0        NAN   1.4200E+05   9.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5687E+07          NAN        4.0        NAN   5.2000E+04   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5721E+07          NAN        8.0        NAN   2.1300E+05   1.2000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5837E+07          NAN        9.0        NAN   2.4100E+05   1.3000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6625E+07          NAN        5.0        NAN   3.5000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6746E+07          NAN        7.0        NAN   2.9000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9953E+07          NAN        9.0        NAN   7.5000E+04   9.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
