# Header: 
#   Title                 : 8-O-16 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : C.Bergman 
#   Institute             : (1USAMIN): University of Minnesota, Minneapolis, MN 
#   Reference             : (J,PR/C,3,1729,1971) 
#   Year                  : 1971 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Nuclide               : 8-O-16 
# Reaction: 
#   entry-subent-pointer  :['T0231-005-4'] 
#   EXFOR reaction        :['(8-O-16(A,EL),,WID)'] 
#   incident energy       : 1.9300e+07 eV - 2.9400e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0231.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0231
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.9300E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   2.5000E+05          NAN          NAN          NAN          NAN          NAN
   1.9600E+07          NAN        6.0        NAN          NAN          NAN          NAN          NAN   3.6000E+05          NAN          NAN          NAN          NAN          NAN
   1.9950E+07          NAN        9.0        NAN          NAN          NAN          NAN          NAN   1.2000E+05          NAN          NAN          NAN          NAN          NAN
   2.0180E+07          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0400E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   2.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.0450E+07          NAN        9.0        NAN          NAN          NAN          NAN          NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN
   2.0600E+07          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1200E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   2.5000E+05          NAN          NAN          NAN          NAN          NAN
   2.1950E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   4.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.2500E+07          NAN        9.0        NAN          NAN          NAN          NAN          NAN   5.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.2650E+07          NAN        9.0        NAN          NAN          NAN          NAN          NAN   2.5000E+05          NAN          NAN          NAN          NAN          NAN
   2.3200E+07          NAN        8.0        NAN          NAN          NAN          NAN          NAN   5.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.4200E+07          NAN        8.0        NAN          NAN          NAN          NAN          NAN   3.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.5200E+07          NAN        8.0        NAN          NAN          NAN          NAN          NAN   6.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.6200E+07          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.8100E+07          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.0000E+05          NAN          NAN          NAN          NAN          NAN
   2.9400E+07          NAN       10.0        NAN          NAN          NAN          NAN          NAN   7.0000E+05          NAN          NAN          NAN          NAN          NAN
