# Header: 
#   Title                 : 8-O-16 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : J.D.Pearson 
#   Institute             : (1USACAL): California Institute of Technology, Pasadena, CA 
#   Reference             : (J,NP,54,434,1964) 
#   Year                  : 1964 
#   Facility              : (ACCEL): Accelerator 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Nuclide               : 8-O-16 
# Reaction: 
#   entry-subent-pointer  :['C0910-002-2'] 
#   EXFOR reaction        :['(8-O-16(A,G),,WID)'] 
#   incident energy       : 5.7340e+06 eV - 9.5700e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C09/C0910.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0910
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(A,TOT)      (A,G)     d(A,G)      (A,EL)   d(A,EL)       (A,F)     d(A,F)
 5.7340E+06 9.0000E+03        NAN        NAN        NAN        NAN 3.0000E+03        NAN        NAN        NAN        NAN        NAN
 5.9400E+06 3.0000E+04        NAN        NAN        NAN        NAN 2.9000E+04 1.5000E+04        NAN        NAN        NAN        NAN
 6.6100E+06 3.0000E+04        NAN        NAN        NAN        NAN 1.5500E+05 3.0000E+04        NAN        NAN        NAN        NAN
 6.9300E+06 1.0000E+04        NAN        NAN        NAN        NAN 2.0000E+03        NAN        NAN        NAN        NAN        NAN
 7.9400E+06 2.0000E+04        NAN        NAN        NAN        NAN 3.0000E+03        NAN        NAN        NAN        NAN        NAN
 8.1700E+06 3.0000E+04        NAN        NAN        NAN        NAN 4.0000E+03        NAN        NAN        NAN        NAN        NAN
 8.5400E+06 4.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.2500E+06 4.0000E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.4000E+06 4.0000E+04        NAN        NAN        NAN        NAN 4.0000E+04 1.6000E+04        NAN        NAN        NAN        NAN
 9.5700E+06 4.0000E+04        NAN        NAN        NAN        NAN 4.6000E+04 1.6000E+04        NAN        NAN        NAN        NAN
