# Header: 
#   Title                 : 15-P-31 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : P.J.Riley 
#   Institute             : (1USATEX): University of Texas, Austin, TX 
#   Reference             : (J,NP/A,96,(3),641,1967) 
#   Year                  : 1967 
#   Facility              : (ACCEL): Accelerator 
# Target: 
#   Z                     : 15 
#   A                     : 31 
#   Nuclide               : 15-P-31 
# Reaction: 
#   entry-subent-pointer  :['C2099-002-4'] 
#   EXFOR reaction        :['(15-P-31(P,TOT),,WID)'] 
#   incident energy       : 1.0140e+06 eV - 4.6780e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C20/C2099.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2099
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(P,TOT)      (P,G)     d(P,G)      (P,EL)   d(P,EL)       (P,F)     d(P,F)
 1.0140E+06 1.0000E+03        1.0        NAN 8.0000E+02 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.4000E+06 1.0000E+03        2.0        NAN 1.8000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.4660E+06 1.0000E+03        3.0        NAN 1.3000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.5130E+06 1.0000E+03        1.0        NAN 8.3000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.6390E+06 1.0000E+03        0.0        NAN 2.9000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.7150E+06 1.0000E+03        2.0        NAN 1.8000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.8150E+06 1.0000E+03        3.0        NAN 3.1000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.8910E+06 1.0000E+03        2.0        NAN 2.0000E+04 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.9710E+06 1.0000E+03        1.0        NAN 4.4000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 1.9850E+06 1.0000E+03        1.0        NAN 3.0000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
 2.0040E+06 1.0000E+03        1.0        NAN 6.0000E+03 1.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN
