# Header: 
#   Title                 : 64-GD-155 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : M0859-002-3 
#   First Author          : A.Nord 
#   Institute             : (2GERIFS): Institute fuer Strahlenphysik, Stuttgart 
#   Reference             : (J,PR/C,54,2287,1996) 
#   Year                  : 1996 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 64 
#   A                     : 155 
#   Isomer                :  
#   Nuclide               : 64-GD-155 
# Reaction: 
#   EXFOR Reaction        : (64-GD-155(G,EL),,WID,,G) 
#   Incident Energy       : 1.6750e+06 eV - 3.3050e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M08/M0859.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0859
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   1.6750E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.3000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   1.9820E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.0170E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.7000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.2830E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   2.3290E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   2.4560E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.1000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.5580E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   2.5960E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.5000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.6450E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.4000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   2.6550E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1300E-02   1.1000E-03          NAN          NAN          NAN          NAN
   2.6890E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   2.7280E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.5000E-03   1.0000E-03          NAN          NAN          NAN          NAN
   2.7430E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.1000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   2.7550E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.4000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   2.7680E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.7000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.8140E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.8190E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   2.8260E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   2.8540E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7000E-02   1.2000E-03          NAN          NAN          NAN          NAN
   2.8650E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E-03   9.0000E-04          NAN          NAN          NAN          NAN
   2.8720E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.6000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   3.0110E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.2000E-03   7.0000E-04          NAN          NAN          NAN          NAN
   3.1230E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.9000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   3.1990E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   3.3050E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0000E-03   1.0000E-03          NAN          NAN          NAN          NAN
