# Header: 
#   Title                 : 14-SI-28 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C0876-002-1 
#   First Author          : D.W.O.Rogers 
#   Institute             : (1CANOTC): National Research Council, Ottawa, Ontario 
#   Reference             : (J,NP/A,281,345,1977) 
#   Year                  : 1977 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 14 
#   A                     : 28 
#   Isomer                :  
#   Nuclide               : 14-SI-28 
# Reaction: 
#   EXFOR Reaction        : (14-SI-28(A,G),,WID/STR) 
#   Incident Energy Type   : 1.7700e+06 eV - 3.8100e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C08/C0876.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0876
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.7700E+06          NAN        1.0        NAN          NAN          NAN   1.6000E-02   3.2000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.9900E+06          NAN        2.0        NAN          NAN          NAN   1.2000E-02   2.4000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.1900E+06          NAN        2.0        NAN          NAN          NAN   1.6000E-02   3.2000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.3700E+06          NAN        NAN        NAN          NAN          NAN   5.2000E-02   1.0400E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.4200E+06          NAN        NAN        NAN          NAN          NAN   6.4000E-02   1.2800E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.6100E+06          NAN        NAN        NAN          NAN          NAN   5.4000E-01   1.0800E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.8800E+06          NAN        NAN        NAN          NAN          NAN   7.2000E-01   1.4400E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.9000E+06          NAN        NAN        NAN          NAN          NAN   8.3000E-01   1.6600E-01          NAN          NAN          NAN          NAN          NAN          NAN
   3.1600E+06          NAN        NAN        NAN          NAN          NAN   6.3000E-01   1.2600E-01          NAN          NAN          NAN          NAN          NAN          NAN
   3.7400E+06          NAN        NAN        NAN          NAN          NAN   8.1000E+00   1.6200E+00          NAN          NAN          NAN          NAN          NAN          NAN
   3.8100E+06          NAN        NAN        NAN          NAN          NAN   2.3000E+00   4.6000E-01          NAN          NAN          NAN          NAN          NAN          NAN
