# Header: 
#   Title                 : 5-B-11 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C1630-005-0 
#   First Author          : L.Van Der Zwan 
#   Institute             : (1CANOTC): National Research Council, Ottawa, Ontario 
#   Reference             : (J,NP/A,246,(1),93,1975) 
#   Year                  : 1975 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 5 
#   A                     : 11 
#   Isomer                :  
#   Nuclide               : 5-B-11 
# Reaction: 
#   EXFOR Reaction        : (5-B-11(A,TOT),,WID) 
#   Incident Energy       : 2.0560e+06 eV - 7.7540e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C16/C1630.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1630
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   2.0560E+06          NAN        NAN        NAN          NAN   5.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6100E+06          NAN        NAN        NAN          NAN   1.1000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9420E+06          NAN        NAN        NAN          NAN   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9840E+06          NAN        NAN        NAN          NAN   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2390E+06          NAN        NAN        NAN          NAN   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4600E+06          NAN        NAN        NAN          NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5600E+06          NAN        NAN        NAN          NAN   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7120E+06          NAN        NAN        NAN          NAN   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9100E+06          NAN        NAN        NAN   1.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0900E+06          NAN        NAN        NAN   1.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2320E+06          NAN        NAN        NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2400E+06          NAN        NAN        NAN   1.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3240E+06          NAN        NAN        NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.8500E+06          NAN        NAN        NAN          NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9860E+06          NAN        NAN        NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.1100E+06          NAN        NAN        NAN          NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.2800E+06          NAN        NAN        NAN          NAN   1.1000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3580E+06          NAN        NAN        NAN          NAN   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.5010E+06          NAN        NAN        NAN          NAN   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.5900E+06          NAN        NAN        NAN          NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.8600E+06          NAN        NAN        NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9800E+06          NAN        NAN        NAN          NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.0600E+06          NAN        NAN        NAN   1.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.1900E+06          NAN        NAN        NAN   3.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2900E+06          NAN        NAN        NAN          NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.7300E+06          NAN        NAN        NAN          NAN   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.7550E+06          NAN        NAN        NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.8300E+06          NAN        NAN        NAN          NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.8840E+06          NAN        NAN        NAN          NAN   1.2000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.1800E+06          NAN        NAN        NAN   1.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.2700E+06          NAN        NAN        NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.3700E+06          NAN        NAN        NAN          NAN   1.1000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.6160E+06          NAN        NAN        NAN          NAN   1.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.7540E+06          NAN        NAN        NAN          NAN   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
