# Header: 
#   Title                 : 8-O-16 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : R.L.Dangle 
#   Institute             : (1USAWIS): University of Wisconsin, Madison, WI 
#   Reference             : (J,PR,133,(3),B647,1964) 
#   Year                  : 1964 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Nuclide               : 8-O-16 
# Reaction: 
#   entry-subent-pointer  :{0: 'C1015-010-4', 1: 'C1015-010-4', 2: 'C1015-010-4', 3: 'C1015-010-4', 4: 'C1015-010-4', 5: 'C1015-010-4', 6: 'C1015-010-4', 7: 'C1015-010-4', 8: 'C1015-010-4', 9: 'C1015-010-4', 10: 'C1015-010-4', 11: 'C1015-010-4', 12: 'C1015-010-4', 13: 'C1015-010-4', 14: 'C1015-010-4', 15: 'C1015-010-4', 16: 'C1015-010-4', 17: 'C1015-010-4', 18: 'C1015-010-4', 19: 'C1015-010-4', 20: 'C1015-010-4', 21: 'C1015-010-4', 22: 'C1015-010-4', 23: 'C1015-010-4', 24: 'C1015-010-4', 25: 'C1015-010-4', 26: 'C1015-010-4', 27: 'C1015-010-4', 28: 'C1015-010-4', 29: 'C1015-010-4', 30: 'C1015-010-4', 31: 'C1015-010-4', 32: 'C1015-010-4', 33: 'C1015-010-4', 34: 'C1015-010-4', 35: 'C1015-010-4', 36: 'C1015-010-4', 37: 'C1015-010-4', 38: 'C1015-010-4', 39: 'C1015-010-4'} 
#   EXFOR reaction        :{0: '(8-O-16(P,TOT),,WID)', 1: '(8-O-16(P,TOT),,WID)', 2: '(8-O-16(P,TOT),,WID)', 3: '(8-O-16(P,TOT),,WID)', 4: '(8-O-16(P,TOT),,WID)', 5: '(8-O-16(P,TOT),,WID)', 6: '(8-O-16(P,TOT),,WID)', 7: '(8-O-16(P,TOT),,WID)', 8: '(8-O-16(P,TOT),,WID)', 9: '(8-O-16(P,TOT),,WID)', 10: '(8-O-16(P,TOT),,WID)', 11: '(8-O-16(P,TOT),,WID)', 12: '(8-O-16(P,TOT),,WID)', 13: '(8-O-16(P,TOT),,WID)', 14: '(8-O-16(P,TOT),,WID)', 15: '(8-O-16(P,TOT),,WID)', 16: '(8-O-16(P,TOT),,WID)', 17: '(8-O-16(P,TOT),,WID)', 18: '(8-O-16(P,TOT),,WID)', 19: '(8-O-16(P,TOT),,WID)', 20: '(8-O-16(P,TOT),,WID)', 21: '(8-O-16(P,TOT),,WID)', 22: '(8-O-16(P,TOT),,WID)', 23: '(8-O-16(P,TOT),,WID)', 24: '(8-O-16(P,TOT),,WID)', 25: '(8-O-16(P,TOT),,WID)', 26: '(8-O-16(P,TOT),,WID)', 27: '(8-O-16(P,TOT),,WID)', 28: '(8-O-16(P,TOT),,WID)', 29: '(8-O-16(P,TOT),,WID)', 30: '(8-O-16(P,TOT),,WID)', 31: '(8-O-16(P,TOT),,WID)', 32: '(8-O-16(P,TOT),,WID)', 33: '(8-O-16(P,TOT),,WID)', 34: '(8-O-16(P,TOT),,WID)', 35: '(8-O-16(P,TOT),,WID)', 36: '(8-O-16(P,TOT),,WID)', 37: '(8-O-16(P,TOT),,WID)', 38: '(8-O-16(P,TOT),,WID)', 39: '(8-O-16(P,TOT),,WID)'} 
#   incident energy       : 7.1860e+06 eV - 1.3215e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C10/C1015.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C1015
#
#        E_in(eV)          dE_in(eV)    data(P,TOT)(eV)       ddata(P,TOT)       data(P,G)         ddata(P,G)        data(P,EL)       ddata(P,EL)        data(P,F)        ddata(P,F)         data(P,A)        ddata(P,A)            spin_j        momentum_l
        7.1860E+06               NAN        1.0000E+04        2.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.2800E+06               NAN        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.2860E+06               NAN        7.0000E+03        2.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.3040E+06               NAN        5.0000E+03        2.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.3130E+06               NAN        8.0000E+03        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.3900E+06               NAN        4.0000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.5800E+06               NAN        1.9000E+05        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.5               NAN
        7.8100E+06               NAN        1.0000E+04        3.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.8900E+06               NAN        5.0000E+04        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.9400E+06               NAN        1.1000E+05        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        8.1000E+06               NAN        7.5000E+05        2.5000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.5               NAN
        8.2700E+06               NAN        1.2000E+04        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        8.3100E+06               NAN        4.5000E+04        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.5               NAN
        8.6300E+06               NAN        2.0000E+05        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        8.7000E+06               NAN        1.6000E+05        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.8800E+06               NAN        1.3000E+05        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        9.1000E+06               NAN        2.0000E+05        5.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.5               NAN
        9.2000E+06               NAN        2.2000E+05        4.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.3500E+06               NAN        2.5000E+05        1.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.5900E+06               NAN        3.3000E+05        7.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.8700E+06               NAN        1.4000E+05        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.9200E+06               NAN        4.5000E+05        1.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0040E+07               NAN        3.0000E+05        1.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               3.5               NAN
        1.0230E+07               NAN        2.7000E+05        8.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0420E+07               NAN        1.7000E+05        4.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0520E+07               NAN        1.5000E+05        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0740E+07               NAN        1.5000E+05        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0830E+07               NAN        1.3000E+05        4.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1000E+07               NAN        2.0000E+05        5.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1520E+07               NAN        2.6000E+05        6.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1640E+07               NAN        1.7000E+05        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1730E+07               NAN        1.6000E+05        4.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1890E+07               NAN        2.0000E+05        1.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1980E+07               NAN        4.0000E+04        2.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2120E+07               NAN        1.3000E+05        4.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2320E+07               NAN        1.7000E+05        6.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2390E+07               NAN        2.0000E+05        5.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2490E+07               NAN        2.8000E+05        5.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2671E+07               NAN        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.3215E+07               NAN        5.0000E+03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
