# Header: 
#   Title                 : 9-F-19 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F1190-004-0 
#   First Author          : J.Kuperus 
#   Institute             : (2NEDUTR): University of Utrecht 
#   Reference             : (J,PHY,31,1603,1965) 
#   Year                  : 1965 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 9 
#   A                     : 19 
#   Isomer                :  
#   Nuclide               : 9-F-19 
# Reaction: 
#   EXFOR Reaction        : (9-F-19(A,TOT),,WID) 
#   Incident Energy       : 1.3180e+06 eV - 2.5200e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F11/F1190.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F1190
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.3180E+06   4.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3640E+06   5.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3950E+06   5.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4920E+06   5.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5070E+06   5.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5740E+06   7.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8790E+06   5.0000E+03        NAN        NAN   3.0000E+04   1.2000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8840E+06   5.0000E+03        NAN        NAN   2.0000E+04   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9010E+06   9.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9540E+06   5.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9820E+06   5.0000E+03        NAN        NAN   1.4000E+04   5.6000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0020E+06   4.0000E+03        NAN        NAN   8.0000E+03   3.2000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0810E+06   4.0000E+03        NAN        NAN   8.0000E+03   3.2000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1020E+06   4.0000E+03        NAN        NAN   7.0000E+03   2.8000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1780E+06   4.0000E+03        NAN        NAN   1.3000E+04   5.2000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1990E+06   5.0000E+03        NAN        NAN   2.4000E+04   9.6000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2160E+06   4.0000E+03        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2430E+06   6.0000E+03        NAN        NAN   2.5000E+04   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2840E+06   4.0000E+03        NAN        NAN   1.3000E+04   5.2000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3190E+06   2.0000E+03        NAN        NAN   5.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3540E+06   4.0000E+03        NAN        NAN   6.0000E+03   2.4000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3600E+06   4.0000E+03        NAN        NAN   6.0000E+03   2.4000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4020E+06   2.0000E+03        NAN        NAN   5.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4200E+06   4.0000E+03        NAN        NAN   1.0000E+04   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4500E+06   2.0000E+03        NAN        NAN   5.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4900E+06   1.0000E+04        NAN        NAN   1.5000E+04   6.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5200E+06   3.0000E+03        NAN        NAN   7.0000E+03   2.8000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
