# Header: 
#   Title                 : 10-NE-20 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : T0258-003-2 
#   First Author          : R.Abegg 
#   Institute             : (1USAWIS): University of Wisconsin, Madison, WI 
#   Reference             : (J,PR/C,43,2523,1991) 
#   Year                  : 1991 
#   Facility              : None 
# Target: 
#   Z                     : 10 
#   A                     : 20 
#   Isomer                :  
#   Nuclide               : 10-NE-20 
# Reaction: 
#   EXFOR Reaction        : (10-NE-20(A,TOT),,WID) 
#   Incident Energy Type   : 3.8830e+06 eV - 1.0980e+07 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0258.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0258
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   3.8830E+06          NAN        4.0        NAN   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9220E+06          NAN        2.0        NAN   5.2000E+03   9.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0100E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1000E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1140E+06          NAN        2.0        NAN   1.1000E+04   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1170E+06          NAN        4.0        NAN   2.0000E+03   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1530E+06          NAN        0.0        NAN   3.4000E+04   1.8000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1610E+06          NAN        1.0        NAN   2.8000E+04   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2000E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4000E+06          NAN        4.0        NAN   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4270E+06          NAN        6.0        NAN   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4780E+06          NAN        NAN        NAN   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.5350E+06          NAN        2.0        NAN   1.4000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6540E+06          NAN        2.0        NAN   1.2000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6680E+06          NAN        4.0        NAN   1.4000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.8340E+06          NAN        0.0        NAN   4.2000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9250E+06          NAN        4.0        NAN   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9350E+06          NAN        NAN        NAN   8.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9480E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9500E+06          NAN        NAN        NAN   1.7000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.1280E+06          NAN        1.0        NAN   3.3000E+04   5.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.2450E+06          NAN        NAN        NAN   1.3000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
