# Header: 
#   Title                 : 16-S-34 Resonance Parameter: WID/STR,,RG 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : D5012-002-1 
#   First Author          : A.N.Vodin 
#   Institute             : (4UKRKFT): Kharkovskii Fiziko-Tekhnicheskii Institute , Kharkov 
#   Reference             : (J,BAS,65,746,2001) 
#   Year                  : 2001 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 16 
#   A                     : 34 
#   Isomer                :  
#   Nuclide               : 16-S-34 
# Reaction: 
#   EXFOR Reaction        : (16-S-34(P,G),,WID/STR,,RG) 
#   Incident Energy       : 8.3200e+05 eV - 2.7910e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D50/D5012.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D5012
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   8.3200E+05   1.0000E+03        1.0        NAN          NAN          NAN   1.4000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.2120E+06   1.0000E+03        3.5        NAN          NAN          NAN   9.7000E+00   7.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.2250E+06   1.0000E+03        NAN        NAN          NAN          NAN   7.0000E-01   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.5100E+06   1.0000E+03        1.5        NAN          NAN          NAN   2.2000E+00   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.8910E+06   1.0000E+03        2.5        NAN          NAN          NAN   4.2000E+00   8.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.9000E+06   1.0000E+03        2.5        NAN          NAN          NAN   3.3000E+00   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.9270E+06   1.0000E+03        1.5        NAN          NAN          NAN   1.0000E+00   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.0700E+06   1.0000E+03        2.5        NAN          NAN          NAN   6.1000E+00   6.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.1760E+06   1.0000E+03        1.5        NAN          NAN          NAN   2.1000E+00   4.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.5970E+06   1.0000E+03        NAN        NAN          NAN          NAN   1.2000E+00   4.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.6110E+06   1.0000E+03        2.5        NAN          NAN          NAN   1.5000E+00   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   2.7910E+06   1.0000E+03        2.5        NAN          NAN          NAN   1.6000E+01   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN
