# Header: 
#   Title                 : 20-CA-40 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : C0926-003-4 
#   First Author          : E.L.Cooperman 
#   Institute             : (1USAUSA): United States of America 
#   Reference             : (J,NP/A,284,163,1977) 
#   Year                  : 1977 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 20 
#   A                     : 40 
#   Isomer                :  
#   Nuclide               : 20-CA-40 
# Reaction: 
#   EXFOR Reaction        : (20-CA-40(A,G),,WID/STR) 
#   Incident Energy Type   : 7.6340e+06 eV - 8.7560e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C09/C0926.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0926
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   7.6340E+06   2.0000E+04        NAN        NAN          NAN          NAN   1.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.0670E+06   2.0000E+04        NAN        NAN          NAN          NAN   2.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.3180E+06   5.0000E+03        NAN        NAN          NAN          NAN   1.2200E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.3850E+06   5.0000E+03        2.0        NAN          NAN          NAN   5.2000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4160E+06   5.0000E+03        NAN        NAN          NAN          NAN   3.3300E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.4490E+06   5.0000E+03        2.0        NAN          NAN          NAN   2.7600E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.5110E+06   5.0000E+03        2.0        NAN          NAN          NAN   2.1500E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.5340E+06   5.0000E+03        NAN        NAN          NAN          NAN   3.2800E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.5650E+06   5.0000E+03        2.0        NAN          NAN          NAN   1.0600E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.6270E+06   6.0000E+03        2.0        NAN          NAN          NAN   8.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.6390E+06   6.0000E+03        2.0        NAN          NAN          NAN   2.3200E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7560E+06   5.0000E+03        2.0        NAN          NAN          NAN   3.3100E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
