# Header: 
#   Title                 : 18-AR-40 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : A.N.Vodin 
#   Institute             : (4UKRKFT): Kharkovskii Fiziko-Tekhnicheskii Institute , Kharkov 
#   Reference             : (J,IZV,72,(6),808,2008) 
#   Year                  : 2008 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 18 
#   A                     : 40 
#   Nuclide               : 18-AR-40 
# Reaction: 
#   entry-subent-pointer  :['D5061-002-2'] 
#   EXFOR reaction        :['(18-AR-40(P,G),,WID)'] 
#   incident energy       : 7.9900e-01 eV - 2.6670e+00 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D50/D5061.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D5061
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(P,TOT)      (P,G)     d(P,G)      (P,EL)   d(P,EL)       (P,F)     d(P,F)
 1.4280E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4340E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4440E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4580E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4660E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4770E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4880E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4960E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5100E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5170E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5300E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5520E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5560E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5710E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5810E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5900E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6020E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6160E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6230E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6380E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6480E+00        NAN        NAN        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.6520E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6560E+00        NAN        NAN        NAN        NAN        NAN 1.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.6700E+00        NAN        NAN        NAN        NAN        NAN 1.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.6750E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.6860E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7020E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7140E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7300E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7400E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7520E+00        NAN        NAN        NAN        NAN        NAN 3.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.7620E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7640E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.7720E+00        NAN        NAN        NAN        NAN        NAN 5.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.7780E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7850E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.7950E+00        NAN        NAN        NAN        NAN        NAN 2.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.8040E+00        NAN        NAN        NAN        NAN        NAN 2.4000E+00        NAN        NAN        NAN        NAN        NAN
 1.8140E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.8210E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.8270E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.8310E+00        NAN        NAN        NAN        NAN        NAN 3.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.8390E+00        NAN        NAN        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.8420E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.8590E+00        NAN        NAN        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.8750E+00        NAN        NAN        NAN        NAN        NAN 1.0000E+00        NAN        NAN        NAN        NAN        NAN
 1.8960E+00        NAN        NAN        NAN        NAN        NAN 1.1000E+00        NAN        NAN        NAN        NAN        NAN
 1.9090E+00        NAN        NAN        NAN        NAN        NAN 3.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.9160E+00        NAN        NAN        NAN        NAN        NAN 3.0000E+00        NAN        NAN        NAN        NAN        NAN
 1.9260E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.9310E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 1.9410E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9470E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9510E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9590E+00        NAN        NAN        NAN        NAN        NAN 1.9000E+00        NAN        NAN        NAN        NAN        NAN
 1.9700E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9710E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9790E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.9850E+00        NAN        NAN        NAN        NAN        NAN 2.5000E+00        NAN        NAN        NAN        NAN        NAN
 1.9960E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.0030E+00        NAN        NAN        NAN        NAN        NAN 1.4000E+00        NAN        NAN        NAN        NAN        NAN
 2.0210E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.0390E+00        NAN        NAN        NAN        NAN        NAN 7.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.0540E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.0680E+00        NAN        NAN        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.0720E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.0790E+00        NAN        NAN        NAN        NAN        NAN 7.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.0890E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.1010E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.1110E+00        NAN        NAN        NAN        NAN        NAN 1.4000E+00        NAN        NAN        NAN        NAN        NAN
 2.1270E+00        NAN        NAN        NAN        NAN        NAN 2.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.1440E+00        NAN        NAN        NAN        NAN        NAN 3.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.1630E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.1820E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.1970E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2010E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2060E+00        NAN        NAN        NAN        NAN        NAN 7.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.2140E+00        NAN        NAN        NAN        NAN        NAN 7.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.2250E+00        NAN        NAN        NAN        NAN        NAN 1.5000E+00        NAN        NAN        NAN        NAN        NAN
 2.2410E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2480E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.2600E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.2730E+00        NAN        NAN        NAN        NAN        NAN 2.0000E+00        NAN        NAN        NAN        NAN        NAN
 2.2930E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.3000E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.3120E+00        NAN        NAN        NAN        NAN        NAN 4.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.3220E+00        NAN        NAN        NAN        NAN        NAN 3.5000E-01        NAN        NAN        NAN        NAN        NAN
 2.3300E+00        NAN        NAN        NAN        NAN        NAN 1.2000E+00        NAN        NAN        NAN        NAN        NAN
 2.3390E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.3470E+00        NAN        NAN        NAN        NAN        NAN 1.6000E+00        NAN        NAN        NAN        NAN        NAN
 2.3570E+00        NAN        NAN        NAN        NAN        NAN 2.2000E+00        NAN        NAN        NAN        NAN        NAN
 2.3680E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.3800E+00        NAN        NAN        NAN        NAN        NAN 7.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.4000E+00        NAN        NAN        NAN        NAN        NAN 1.9000E+00        NAN        NAN        NAN        NAN        NAN
 2.4140E+00        NAN        NAN        NAN        NAN        NAN 1.0000E+00        NAN        NAN        NAN        NAN        NAN
 2.4220E+00        NAN        NAN        NAN        NAN        NAN 1.7000E+00        NAN        NAN        NAN        NAN        NAN
 2.4360E+00        NAN        NAN        NAN        NAN        NAN 1.6000E+00        NAN        NAN        NAN        NAN        NAN
 2.4440E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.4580E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.4660E+00        NAN        NAN        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.4720E+00        NAN        NAN        NAN        NAN        NAN 2.0000E+00        NAN        NAN        NAN        NAN        NAN
 2.4860E+00        NAN        NAN        NAN        NAN        NAN 2.9000E+00        NAN        NAN        NAN        NAN        NAN
 2.5000E+00        NAN        NAN        NAN        NAN        NAN 1.3000E+00        NAN        NAN        NAN        NAN        NAN
 2.5130E+00        NAN        NAN        NAN        NAN        NAN 1.3000E+00        NAN        NAN        NAN        NAN        NAN
 2.5190E+00        NAN        NAN        NAN        NAN        NAN 1.0000E+00        NAN        NAN        NAN        NAN        NAN
 2.5350E+00        NAN        NAN        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.5490E+00        NAN        NAN        NAN        NAN        NAN 3.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.5690E+00        NAN        NAN        NAN        NAN        NAN 5.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.5840E+00        NAN        NAN        NAN        NAN        NAN 5.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.5880E+00        NAN        NAN        NAN        NAN        NAN 7.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.5940E+00        NAN        NAN        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN        NAN        NAN
 2.6090E+00        NAN        NAN        NAN        NAN        NAN 1.1000E+00        NAN        NAN        NAN        NAN        NAN
 2.6170E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6270E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6460E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6530E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6610E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.6670E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
