# Header: 
#   Title                 : 94-PU-239 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : H.Derrien 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (T,DERRIEN,7311) 
#   Year                  : 1973 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 94 
#   A                     : 239 
#   Nuclide               : 94-PU-239 
# Reaction: 
#   entry-subent-pointer  :['20445-005-3' '20445-005-4'] 
#   EXFOR reaction        :['(94-PU-239(N,TOT),,WID)' '(94-PU-239(N,G),,WID)'] 
#   incident energy       : 7.8200e+00 eV - 6.5829e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20445.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20445
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 9.6490E+01        NAN        0.0        0.0 1.7000E+00 3.5000E-01        NAN        NAN        NAN        NAN        NAN        NAN
 1.0025E+02        NAN        0.0        0.0 6.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0299E+02        NAN        NAN        0.0 4.8000E-02 5.0000E-03 3.6000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 1.0530E+02        NAN        NAN        0.0 4.8000E-02 7.0000E-03 3.8000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 1.0667E+02        NAN        1.0        0.0 7.5000E-02 4.0000E-03 4.0000E-02 4.0000E-03        NAN        NAN        NAN        NAN
 1.1038E+02        NAN        NAN        0.0 4.3000E-02 1.6000E-02 3.0000E-02        NAN        NAN        NAN        NAN        NAN
 1.1444E+02        NAN        0.0        0.0 1.5000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1510E+02        NAN        NAN        0.0 2.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1603E+02        NAN        NAN        0.0 2.5700E-01 1.5000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 1.1883E+02        NAN        1.0        0.0 1.0200E-01 6.0000E-03 4.3000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 1.2099E+02        NAN        NAN        0.0 7.8000E-02 1.2000E-02 3.2000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 1.2344E+02        NAN        NAN        0.0 6.3000E-02 1.3000E-02 2.4000E-02 1.5000E-02        NAN        NAN        NAN        NAN
 1.2620E+02        NAN        NAN        0.0 9.6000E-02 1.0000E-02 7.0000E-02 2.0000E-02        NAN        NAN        NAN        NAN
 1.2751E+02        NAN        NAN        0.0 6.4000E-02 1.0000E-02 3.9000E-02        NAN        NAN        NAN        NAN        NAN
 1.3175E+02        NAN        0.0        0.0 3.8000E+00 2.5000E-01        NAN        NAN        NAN        NAN        NAN        NAN
 1.3378E+02        NAN        NAN        0.0 5.6000E-02 6.0000E-03 4.4000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 1.3675E+02        NAN        NAN        0.0 1.2600E-01 1.0000E-02 3.2000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 1.3928E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.4292E+02        NAN        NAN        0.0 1.3700E-01 2.0000E-02 5.2000E-02 1.6000E-02        NAN        NAN        NAN        NAN
 1.4347E+02        NAN        NAN        0.0 8.3000E-02 1.2000E-02 4.8000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 1.4625E+02        NAN        NAN        0.0 7.0000E-02 7.0000E-03 5.0000E-02 7.0000E-03        NAN        NAN        NAN        NAN
 1.4744E+02        NAN        0.0        0.0 1.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
