# Header: 
#   Title                 : 16-S-34 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : T0299-003-2 
#   First Author          : R.E.Clarke 
#   Institute             : (1USAFLA): University of Florida, Gainesville, FL 
#   Reference             : (J,NP/A,171,298,1971) 
#   Year                  : 1971 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 16 
#   A                     : 34 
#   Isomer                :  
#   Nuclide               : 16-S-34 
# Reaction: 
#   EXFOR Reaction        : (16-S-34(A,G),,WID/STR) 
#   Incident Energy Type   : 3.3240e+06 eV - 4.2780e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0299.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0299
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   3.3240E+06          NAN        1.0        NAN          NAN          NAN   8.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4080E+06          NAN        1.0        NAN          NAN          NAN   2.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4980E+06          NAN        1.0        NAN          NAN          NAN   2.1000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5630E+06          NAN        1.0        NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6030E+06          NAN        1.0        NAN          NAN          NAN   1.4000E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7780E+06          NAN        1.0        NAN          NAN          NAN   6.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8890E+06          NAN        1.0        NAN          NAN          NAN   9.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0820E+06          NAN        1.0        NAN          NAN          NAN   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2560E+06          NAN        1.0        NAN          NAN          NAN   3.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2780E+06          NAN        1.0        NAN          NAN          NAN   4.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
