# Header: 
#   Title                 : 7-N-15 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0825-005-0 
#   First Author          : S.K.B.Hesmondhalgh 
#   Institute             : (2UK OXF): University of Oxford, Oxford 
#   Reference             : (J,NP/A,476,375,1988) 
#   Year                  : 1988 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 7 
#   A                     : 15 
#   Isomer                :  
#   Nuclide               : 7-N-15 
# Reaction: 
#   EXFOR Reaction        : (7-N-15(A,G),,WID) 
#   Incident Energy       : 4.4640e+06 eV - 8.1050e+06 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F08/F0825.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0825
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   4.4640E+06          NAN        NAN        NAN          NAN          NAN   1.6000E+05   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN
   5.4130E+06          NAN        NAN        NAN          NAN          NAN   9.0000E+02   1.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN
   5.8470E+06          NAN        NAN        NAN          NAN          NAN   6.6000E+01   7.4000E+01          NAN          NAN          NAN          NAN          NAN          NAN
   6.2590E+06          NAN        NAN        NAN          NAN          NAN   3.5700E+03   5.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN
   6.9630E+06          NAN        NAN        NAN          NAN          NAN   4.6000E+02   5.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN
   7.2170E+06          NAN        NAN        NAN          NAN          NAN   1.2000E+02   3.0000E+01          NAN          NAN          NAN          NAN          NAN          NAN
   7.3750E+06          NAN        NAN        NAN          NAN          NAN   2.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.4300E+06          NAN        NAN        NAN          NAN          NAN   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.4900E+06          NAN        NAN        NAN          NAN          NAN   6.1000E+05   9.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN
   7.6960E+06          NAN        NAN        NAN          NAN          NAN   1.1500E+03   1.4000E+02          NAN          NAN          NAN          NAN          NAN          NAN
   8.1050E+06          NAN        NAN        NAN          NAN          NAN   3.1000E+02   1.1000E+02          NAN          NAN          NAN          NAN          NAN          NAN
