# Header: 
#   Title                 : 7-N-14 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : D0587-003-2 
#   First Author          : A.F.Gurbich 
#   Institute             : (4RUSFEI): Fiziko-Energeticheskii Institute , Obninsk 
#   Reference             : (J,NIM/B,269,40,2011) 
#   Year                  : 2011 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 7 
#   A                     : 14 
#   Isomer                :  
#   Nuclide               : 7-N-14 
# Reaction: 
#   EXFOR Reaction        : (7-N-14(A,TOT),,WID) 
#   Incident Energy Type   : 2.7670e+06 eV - 4.9450e+06 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D05/D0587.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D0587
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   2.7670E+06          NAN        5.0        4.0   5.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8700E+06          NAN        1.0        1.0   7.6000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0800E+06          NAN        2.0        1.0   1.2000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5760E+06          NAN        3.0        3.0   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6700E+06          NAN        4.0        4.0   4.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7430E+06          NAN        4.0        NAN   7.3000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9900E+06          NAN        3.0        3.0   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0500E+06          NAN        4.0        3.0   4.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0850E+06          NAN        4.0        4.0   4.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3700E+06          NAN        2.0        1.0   1.8000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.5000E+06          NAN        3.0        3.0   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6300E+06          NAN        1.0        0.0   1.2000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.7000E+06          NAN        4.0        4.0   8.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9450E+06          NAN        4.0        4.0   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
