# Header: 
#   Title                 : 4-BE-9 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : M.Freer 
#   Institute             : (2UK BIR): University of Birmingham, England 
#   Reference             : (J,PR/C,84,034317,2011) 
#   Year                  : 2011 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 4 
#   A                     : 9 
#   Nuclide               : 4-BE-9 
# Reaction: 
#   entry-subent-pointer  :{6: 'D0669-003-4', 7: 'D0669-003-4', 8: 'D0669-003-4', 9: 'D0669-003-4', 10: 'D0669-003-4', 11: 'D0669-003-4', 12: 'D0669-003-4', 13: 'D0669-003-4', 14: 'D0669-003-4', 15: 'D0669-003-4', 16: 'D0669-003-4', 17: 'D0669-003-5', 18: 'D0669-003-5', 19: 'D0669-003-5', 20: 'D0669-003-5', 21: 'D0669-003-5', 22: 'D0669-003-5', 23: 'D0669-003-5', 24: 'D0669-003-5', 25: 'D0669-003-5', 26: 'D0669-003-5', 27: 'D0669-003-5'} 
#   EXFOR reaction        :{6: '(4-BE-9(A,TOT),,WID)', 7: '(4-BE-9(A,TOT),,WID)', 8: '(4-BE-9(A,TOT),,WID)', 9: '(4-BE-9(A,TOT),,WID)', 10: '(4-BE-9(A,TOT),,WID)', 11: '(4-BE-9(A,TOT),,WID)', 12: '(4-BE-9(A,TOT),,WID)', 13: '(4-BE-9(A,TOT),,WID)', 14: '(4-BE-9(A,TOT),,WID)', 15: '(4-BE-9(A,TOT),,WID)', 16: '(4-BE-9(A,TOT),,WID)', 17: '(4-BE-9(A,EL),,WID)', 18: '(4-BE-9(A,EL),,WID)', 19: '(4-BE-9(A,EL),,WID)', 20: '(4-BE-9(A,EL),,WID)', 21: '(4-BE-9(A,EL),,WID)', 22: '(4-BE-9(A,EL),,WID)', 23: '(4-BE-9(A,EL),,WID)', 24: '(4-BE-9(A,EL),,WID)', 25: '(4-BE-9(A,EL),,WID)', 26: '(4-BE-9(A,EL),,WID)', 27: '(4-BE-9(A,EL),,WID)'} 
#   incident energy       : 2.7300e+06 eV - 5.5100e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/D06/D0669.x4 
#   nds                   : https://nds.iaea.org/EXFOR/D0669
#
#        E_in(eV)          dE_in(eV)    data(A,TOT)(eV)       ddata(A,TOT)       data(A,G)         ddata(A,G)        data(A,EL)       ddata(A,EL)        data(A,F)        ddata(A,F)         data(A,A)        ddata(A,A)            spin_j        momentum_l
        2.7300E+06               NAN        3.4000E+08               NAN               NAN               NAN        2.9400E+08               NAN               NAN               NAN               NAN               NAN               1.5               NAN
        2.7800E+06               NAN        2.0000E+06               NAN               NAN               NAN        2.0000E+06               NAN               NAN               NAN               NAN               NAN               4.5               NAN
        2.8800E+06               NAN        6.2800E+08               NAN               NAN               NAN        5.5700E+08               NAN               NAN               NAN               NAN               NAN               3.5               NAN
        3.2400E+06               NAN        3.3500E+08               NAN               NAN               NAN        3.9000E+07               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        3.5500E+06               NAN        1.7900E+08               NAN               NAN               NAN        1.7900E+08               NAN               NAN               NAN               NAN               NAN               1.5               NAN
        3.8100E+06               NAN        2.9300E+08               NAN               NAN               NAN        2.4000E+07               NAN               NAN               NAN               NAN               NAN               3.5               NAN
        4.0900E+06               NAN        2.7100E+08               NAN               NAN               NAN        2.1800E+08               NAN               NAN               NAN               NAN               NAN               4.5               NAN
        4.3300E+06               NAN        4.1800E+08               NAN               NAN               NAN        2.5000E+08               NAN               NAN               NAN               NAN               NAN               3.5               NAN
        4.5000E+06               NAN        4.9300E+08               NAN               NAN               NAN        1.5400E+08               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        5.4900E+06               NAN        2.5300E+08               NAN               NAN               NAN        2.3000E+07               NAN               NAN               NAN               NAN               NAN               2.5               NAN
        5.5100E+06               NAN        1.4000E+08               NAN               NAN               NAN        2.1000E+07               NAN               NAN               NAN               NAN               NAN               3.5               NAN
