# Header: 
#   Title                 : 63-EU-151 Resonance Parameter: ARE 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : A.Nord 
#   Institute             : (2GERIFS): Institute fuer Strahlenphysik, Stuttgart 
#   Reference             : (J,PR/C,67,034307,2003) 
#   Year                  : 2003 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 63 
#   A                     : 151 
#   Nuclide               : 63-EU-151 
# Reaction: 
#   entry-subent-pointer  :['M0778-002-2'] 
#   EXFOR reaction        :['(63-EU-151(G,EL),,ARE)'] 
#   incident energy       : 8.8900e+05 eV - 3.9180e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0778.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0778
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   8.8900E+05          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.8000E+00   6.3000E-01          NAN          NAN          NAN          NAN
   1.4210E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.3600E+00   4.3000E-01          NAN          NAN          NAN          NAN
   1.8030E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2900E+00   2.6000E-01          NAN          NAN          NAN          NAN
   2.3270E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1700E+00   2.0000E-01          NAN          NAN          NAN          NAN
   2.6470E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.9000E-01   1.7000E-01          NAN          NAN          NAN          NAN
   2.6590E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.9000E-01   1.7000E-01          NAN          NAN          NAN          NAN
   2.6940E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0700E+00   1.7000E-01          NAN          NAN          NAN          NAN
   2.8340E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1700E+00   1.6000E-01          NAN          NAN          NAN          NAN
   3.8380E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.9000E-01   2.3000E-01          NAN          NAN          NAN          NAN
   3.9180E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1800E+00   2.9000E-01          NAN          NAN          NAN          NAN
