# Header: 
#   Title                 : 16-S-34 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : D.A.Outlaw 
#   Institute             : (1USANCS): North Carolina State University, Raleigh, NC 
#   Reference             : (J,NP/A,284,1,1977) 
#   Year                  : 1977 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 16 
#   A                     : 34 
#   Nuclide               : 16-S-34 
# Reaction: 
#   entry-subent-pointer  :['C2707-003-2'] 
#   EXFOR reaction        :['(16-S-34(P,EL),,WID)'] 
#   incident energy       : 1.4673e+06 eV - 2.8109e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C27/C2707.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C2707
#
#    E_in(eV)    dE_in(eV)          J          L      (P,TOT)     d(P,TOT)        (P,G)       d(P,G)        (P,EL)     d(P,EL)        (P,F)       d(P,F)        (P,A)       d(P,A)
   1.4673E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   3.1000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   1.5100E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   3.7280E+03   3.8000E+02          NAN          NAN          NAN          NAN
   1.5540E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   8.0000E+00   4.0000E+00          NAN          NAN          NAN          NAN
   1.6821E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   1.1000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   1.7129E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   2.6000E+01   7.0000E+00          NAN          NAN          NAN          NAN
   1.7169E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   3.0000E+02   2.0000E+01          NAN          NAN          NAN          NAN
   1.8302E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   2.6600E+03   2.7000E+02          NAN          NAN          NAN          NAN
   1.8315E+06          NAN        1.5        NAN          NAN          NAN          NAN          NAN   5.6000E+02   6.0000E+01          NAN          NAN          NAN          NAN
   1.8932E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   3.3000E+01   1.0000E+01          NAN          NAN          NAN          NAN
   1.8944E+06          NAN        0.5        NAN          NAN          NAN          NAN          NAN   9.4000E+01   1.5000E+01          NAN          NAN          NAN          NAN
