# Header: 
#   Title                 : 28-NI-58 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : E.Arai 
#   Institute             : (2JPNTIT): Tokyo Institute of Technology, Tokyo 
#   Reference             : (J,NP/A,256,127,1976) 
#   Year                  : 1976 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 28 
#   A                     : 58 
#   Nuclide               : 28-NI-58 
# Reaction: 
#   entry-subent-pointer  :['E1494-006-1'] 
#   EXFOR reaction        :['(28-NI-58(P,TOT),,WID)'] 
#   incident energy       : 2.9580e+00 eV - 4.0002e+00 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/E14/E1494.x4 
#   nds                   : https://nds.iaea.org/EXFOR/E1494
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(P,TOT)      (P,G)     d(P,G)      (P,EL)   d(P,EL)       (P,F)     d(P,F)
 2.9580E+00        NAN        2.5        2.0 2.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9610E+00        NAN        2.5        2.0 2.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.9980E+00        NAN        1.5        2.0 6.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.0540E+00        NAN        1.5        1.0 9.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1372E+00        NAN        2.5        2.0 4.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1470E+00        NAN        0.5        1.0 5.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1510E+00        NAN        0.5        0.0 5.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1512E+00        NAN        1.5        2.0 8.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1666E+00        NAN        1.5        1.0 1.6000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2116E+00        NAN        0.5        1.0 1.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2436E+00        NAN        0.5        1.0 1.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2658E+00        NAN        1.5        2.0 2.5000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2820E+00        NAN        1.5        1.0 6.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.2830E+00        NAN        1.5        1.0 6.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3534E+00        NAN        0.5        1.0 1.6200E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3660E+00        NAN        0.5        1.0 6.3000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3690E+00        NAN        2.5        2.0 1.5000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3882E+00        NAN        0.5        0.0 2.4000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.3900E+00        NAN        0.5        0.0 3.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.4515E+00        NAN        1.5        1.0 5.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.4733E+00        NAN        4.5        4.0 9.7000E+00 4.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN
 3.4755E+00        NAN        0.5        1.0 4.7600E+01 4.3000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.4802E+00        NAN        2.5        2.0 1.1410E+02 3.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.5052E+00        NAN        0.5        1.0 6.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5174E+00        NAN        2.5        2.0 6.9000E+01 3.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.5202E+00        NAN        0.5        0.0 1.5440E+03 1.8000E+02        NAN        NAN        NAN        NAN        NAN        NAN
 3.5446E+00        NAN        4.5        4.0 2.4400E+01 8.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN
 3.5622E+00        NAN        2.5        2.0 1.5000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5784E+00        NAN        0.5        1.0 2.1200E+02 1.5000E+01        NAN        NAN        NAN        NAN        NAN        NAN
 3.5838E+00        NAN        0.5        1.0 8.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5862E+00        NAN        1.5        2.0 4.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.5979E+00        NAN        1.5        1.0 9.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6079E+00        NAN        2.5        2.0 7.5600E+01 2.5000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.6115E+00        NAN        1.5        1.0 3.5500E+01 3.9000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.6333E+00        NAN        2.5        2.0 3.1000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6570E+00        NAN        0.5        0.0 7.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6715E+00        NAN        1.5        1.0 7.8000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6863E+00        NAN        2.5        2.0 1.8000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7188E+00        NAN        1.5        1.0 1.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7424E+00        NAN        1.5        1.0 3.1450E+02 7.1000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.7522E+00        NAN        2.5        2.0 2.3000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7750E+00        NAN        1.5        1.0 2.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7831E+00        NAN        0.5        1.0 6.7270E+02 3.1500E+01        NAN        NAN        NAN        NAN        NAN        NAN
 3.7852E+00        NAN        2.5        2.0 8.0930E+02 4.1500E+01        NAN        NAN        NAN        NAN        NAN        NAN
 3.7971E+00        NAN        1.5        1.0 1.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8202E+00        NAN        0.5        0.0 5.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8262E+00        NAN        0.5        1.0 5.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8345E+00        NAN        1.5        2.0 2.0000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8563E+00        NAN        3.5        3.0 5.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8782E+00        NAN        0.5        1.0 6.2600E+02 3.6000E+01        NAN        NAN        NAN        NAN        NAN        NAN
 3.8898E+00        NAN        2.5        2.0 4.0000E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9110E+00        NAN        1.5        2.0 1.8000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9305E+00        NAN        1.5        1.0 6.0200E+01 4.4000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.9328E+00        NAN        2.5        2.0 3.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9340E+00        NAN        1.5        1.0 1.5120E+02 7.2000E+00        NAN        NAN        NAN        NAN        NAN        NAN
 3.9652E+00        NAN        0.5        0.0 1.6000E+03        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9816E+00        NAN        1.5        2.0 1.0000E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.9826E+00        NAN        0.5        0.0 1.1500E+04        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.0002E+00        NAN        0.5        1.0 8.0500E+01 9.7000E+00        NAN        NAN        NAN        NAN        NAN        NAN
