# Header: 
#   Title                 : 10-NE-22 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : F.X.Haas 
#   Institute             : (1USAMND): Mound Laboratory, Miamisburg, OH 
#   Reference             : (J,PR/C,7,2432,1973) 
#   Year                  : 1973 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 10 
#   A                     : 22 
#   Nuclide               : 10-NE-22 
# Reaction: 
#   entry-subent-pointer  :['C0515-005-0'] 
#   EXFOR reaction        :['(10-NE-22(A,TOT),,WID)'] 
#   incident energy       : 1.9800e+06 eV - 5.0500e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/C05/C0515.x4 
#   nds                   : https://nds.iaea.org/EXFOR/C0515
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   1.9800E+06          NAN        NAN        NAN   2.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0500E+06          NAN        NAN        NAN   4.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.1500E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2900E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4400E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5600E+06          NAN        NAN        NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6400E+06          NAN        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6800E+06          NAN        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7600E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8600E+06          NAN        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8800E+06          NAN        NAN        NAN   4.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9700E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0200E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0600E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2000E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3100E+06          NAN        NAN        NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4000E+06          NAN        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4400E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5500E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6000E+06          NAN        NAN        NAN   3.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6600E+06          NAN        NAN        NAN   6.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7000E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8600E+06          NAN        NAN        NAN   6.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9400E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9700E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0100E+06          NAN        NAN        NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0500E+06          NAN        NAN        NAN   1.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1300E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2100E+06          NAN        NAN        NAN   4.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2900E+06          NAN        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3300E+06          NAN        NAN        NAN   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4000E+06          NAN        NAN        NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
