# Header: 
#   Title                 : 18-AR-36 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0605-004-2 
#   First Author          : R.B.Watson 
#   Institute             : (3AULCBR): Australian National University, Canberra 
#   Reference             : (J,NP/A,203,209,1973) 
#   Year                  : 1973 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 18 
#   A                     : 36 
#   Isomer                :  
#   Nuclide               : 18-AR-36 
# Reaction: 
#   EXFOR Reaction        : (18-AR-36(A,TOT),,WID/STR) 
#   Incident Energy       : 6.5900e+06 eV - 1.3330e+07 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F06/F0605.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0605
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   6.5900E+06          NAN        NAN        NAN   3.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.9000E+06          NAN        NAN        NAN   9.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.1600E+06          NAN        NAN        NAN   3.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.4200E+06          NAN        NAN        NAN   3.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.6800E+06          NAN        NAN        NAN   1.4600E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.8400E+06          NAN        NAN        NAN   1.4400E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.2000E+06          NAN        NAN        NAN   1.4700E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.3000E+06          NAN        NAN        NAN   4.5000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7000E+06          NAN        NAN        NAN   6.3000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1810E+07          NAN        NAN        NAN   5.8000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2020E+07          NAN        NAN        NAN   5.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2340E+07          NAN        NAN        NAN   1.1300E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2540E+07          NAN        NAN        NAN   9.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2680E+07          NAN        NAN        NAN   6.9000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2990E+07          NAN        NAN        NAN   1.0300E+01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3330E+07          NAN        NAN        NAN   4.9000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
